   2 boy in blue	_	NNS IN JJ
   1 bradley chevron	_	NNP NNP
   1 bradley food and beverage	_	NNP NNP CC NNP
   1 brain dead	_	NN JJ
   1 braman honda	_	NNP NNP
   1 bramen honda	_	NNP NNP
   1 branch out	_	VB RP
   1 brand new	_	RB JJ
   1 break down	_	VBD RP
   1 break down and	_	VB RP CC
   1 break the bank	_	VB DT NN
   2 brickell honda	_	NNP NNP
   1 brief on	_	VB IN
   1 bright futures	_	NNP NNPS
   1 bright star tours	_	NNP NNP NNPS
   1 bright star tours and travels	_	NNP NNP NNPS CC NNPS
   1 bring back	_	VB RB
   1 bring back	_	VBD RB
   1 bring back	~	VB RB
   2 bring back	~	VBD RB
   1 bring in	_	VB RB
   2 bring in	_	VBD RB
   1 bring in	_	VBP RB
   1 bring up	_	VBD RP
   1 britt 's	_	NNP POS
   1 britt 's pizza	_	NNP POS NNP
   1 bruise ego	_	VBD NN
   1 buckingham condominiums	_	NNP NNPS
   1 buffalo wings	_	NNP NNS
   1 bull fighting	_	NN NN
   1 burch 's karate	_	NNP POS NNP
   1 burger and fries	~	NN CC NNS
   1 burger king	_	NNP NNP
   1 bus boy	_	NN NN
   1 bus line	_	NN NNS
   1 bus route	~	NN NN
   1 business cards	_	NN NNS
   1 but do n't let that fool you	~	CC VB RB VB DT VB PRP
   1 but then again	~	CC RB RB
   1 buy from	~	VBG IN
   1 buyer beware	_	NN VB
   1 buyer beware	~	NN VB
   1 by any stretch of the imagination	_	IN DT NN IN DT NN
   9 by far	_	IN RB
   1 by the time	~	IN DT NN
   2 by the way	_	IN DT NN
   1 c on	_	VB RB
   1 ca n't be beat	~	MD RB VB VBN
   1 ca n't enough	~	MD RB RB
   1 ca n't get enough	_	MD RB VB JJ
   1 ca n't go wrong	_	MD RB VB RB
   1 ca n't thank enough	~	MD RB VB RB
   1 ca n't wait	_	MD RB VB
   1 caffe bella italia	_	NNP NNP NNP
   1 caldwell insurance	_	NNP NNP
   1 call back	_	NN RB
   2 call back	_	VB RB
   2 call back	_	VB RP
   3 call back	_	VBD RB
   1 call back	_	VBZ RB
   1 call in	_	VB RP
   2 call in	_	VBD RP
   1 call in sick	_	VBD RB JJ
   1 call up	_	VBD RP
   1 call up	_	VBG RP
   1 camps bay	_	NNPS NNP
   1 can be assure	_	MD VB VBN
   1 can not	_	MD RB
   1 can not be beat	~	MD RB VB VBN
   1 can not say enough	_	MD RB VB JJ
   1 can not wait	_	MD RB VB
   2 can not wait	~	MD RB VB
   1 can see forever	~	MD VB RB
   1 canadian outback	_	NNP NNP
   1 canal walk	_	NNP NNP
   1 canyon road	_	NNP NNP
   1 capable of	_	JJ IN
   1 car accident	_	NN NN
   2 car dealer	_	NN NN
   1 car model	~	NN NN
   1 car wash	_	NN NN
   1 car wash	_	NN NNS
   1 care about	~	VBP IN
   1 care about	~	VBZ IN
   1 care receive	_	NN VBD
   1 carnegie mellon	_	NNP NNP
   2 carry out	_	VB RP
   1 carry out	_	VBD RP
   1 catch in traffic	~	VBN IN NN
   1 catch my eye	_	VBD PRP$ NN
   2 catch up	_	VB RP
   1 catch up with	~	VB RP IN
   1 cause of death	~	NN IN NN
   1 cayuga st.	_	NNP NNP
   1 center city philly	_	NNP NNP NNP
   1 central iowa	_	NNP NNP
   1 cesar gracie	_	NNP NNP
   1 chain restaurant	~	NN NN
   1 chamberlain road hull	_	NNP NNP NNP
   1 chance be	_	NNS VBP
   1 change lightbulb	_	VBD NN
   2 change mind	_	VB NN
   1 charge a dime	_	VB DT NN
   1 charge for	_	VBD IN
   2 cheap hotel rome	_	NNP NNP NNP
   1 check - in	_	NN HYPH NN
   1 check - out	_	NN HYPH NN
   1 check - out	_	VB HYPH RP
   1 check back	_	VBD RB
   1 check back with	~	VBD RB IN
   2 check card	_	NN NN
   1 check engine light	_	VB NN NN
   1 check for	~	VBG IN
   1 check in	_	NN NN
   2 check in	_	VB RP
   1 check in	_	VBD RP
   1 check on	~	VBD IN
   1 check out	_	NN NN
   7 check out	_	VB RP
   1 check out	_	VBD RP
   2 check out	_	VBG RP
   1 check out	_	VBN RP
   1 check ups	_	NN NNS
   1 check with	~	VB IN
   1 chennai , india	~	NNP , NNP
   2 chest of drawers	_	NN IN NNS
   1 chicken cordon - blu	_	NN NN HYPH NN
   1 chicken finger	_	NN NNS
   1 chicken salad	_	NNP NN
   1 child molester	_	NN NNS
   1 child predator	_	NN NNS
   1 chili relleno	_	NN NN
   1 chili s	_	NNP POS
   2 china delight	_	NNP NNP
   1 chocolate lava cake	_	NN NN NN
   1 chocolate mousse	_	NN NN
   1 christmas tree	_	NNP NNS
   1 cigar lounge	_	NN NN
   1 cinema 21	_	NNP CD
   1 cj and company	~	NNP CC NN
   1 clark county school district	_	NNP NNP NNP NNP
   1 clarkson university	_	NNP NNP
   1 class act	_	NN NN
   4 clean up	_	VBN RP
   1 cleaning lady	_	NN NN
   2 client base	_	NN NN
   2 close to	_	JJ IN
   1 closing time	~	NN NN
   1 club sandwich	_	NN NN
   1 cn tower	_	NNP NNP
   1 co worker	_	AFX NNS
   1 coffee store	_	NN NN
   2 collection agency	_	NN NN
   1 color me phat	_	VB PRP JJ
   1 columbia river	_	NNP NNP
   1 come across	_	VB RB
   2 come across	_	VBN IN
   1 come across	_	VBZ RB
   1 come and go	_	VBD CC VBD
   1 come apart	_	VBG RB
   1 come away from	_	VBD RB IN
   1 come back	_	VB RB
   3 come back	_	VBD RB
   1 come by	_	VB RB
   1 come by	_	VBD RB
   1 come down	_	VB RB
   1 come for a visit	~	VBZ IN DT NN
   1 come from	_	VB IN
   1 come from	_	VBZ IN
   1 come from	~	VBG IN
   1 come home to	_	VBD RB IN
   1 come in	_	VB RB
   2 come in	_	VBD IN
   7 come in	_	VBD RB
   1 come in	_	VBG RB
   1 come in	_	VBP RB
   1 come in	~	VBD RB
   2 come in	~	VBG RB
   1 come in town	~	VBD IN NN
   1 come in under	_	VBD RB IN
   1 come off the bones	~	VBZ IN DT NNS
   1 come on	_	VB RP
   1 come out	_	VB RB
   7 come out	_	VBD RB
   1 come out of mouth	~	VB IN IN NN
   1 come out of mouth	~	VB IN IN NNS
   1 come over	_	VB RB
   1 come over	_	VBD RB
   1 come over	_	VBP RB
   1 come over budget	_	VBD IN NN
   2 come through	_	VBD RB
   1 come through	_	VBN RB
   1 come through	_	VBZ RP
   1 come time	_	VBD NN
   1 come to	_	VBN TO
   1 come up	_	VBD RB
   1 come upon	_	VBD IN
   1 come with	_	VB IN
   1 come with	_	VBD IN
   2 comfort zone	_	NNP NNP
   1 comment on	~	VBP IN
   1 common courtesy	_	JJ NN
   1 common misconception	~	JJ NN
   1 common room	_	JJ NN
   1 compact 's	_	NNP POS
   5 compare to	_	VBN IN
   1 compare to	~	VBN IN
   1 compliment on	~	VBN IN
   1 computer network	_	NN NN
   1 computer person	_	NN NNS
   1 concerned with	_	JJ IN
   1 concrete fact	~	JJ NNS
   1 consist of	_	VBZ IN
   1 console pros	_	NNP NNPS
   1 contact information	_	NN NN
   1 convenience store	_	NN NN
   1 cookie cutter	_	NN NN
   1 cope with	~	VB IN
   1 corking fee	_	NN NN
   1 corona dryer	_	NNP NNS
   1 corporate client	~	JJ NNS
   1 cost effective	~	NN JJ
   1 costumer service	_	NN NN
   1 could n't be farther from the truth	~	MD RB VB RBR IN DT NN
   1 could not recommend enough	_	MD RB VB RB
   1 count on	_	VB IN
   1 country girl	_	NN NN
   1 couple with	_	VBN IN
   1 couple with	~	VBN IN
   1 cover up	_	VB RP
   1 cowboy boot	_	NN NNS
   1 crab rangoon	_	NN NN
   1 craft wonderland	_	NN NN
   1 cranmore dental and implant clinic	_	NNP NNP CC NNP NNP
   1 crap hole	_	NN NN
   3 credit card	_	NN NN
   1 credit card minimum	_	NN NN NN
   1 credit cards	_	NN NNS
   1 credit score	_	NN NN
   1 creekside apartments	_	NNP NNPS
   1 criminal attorney	_	JJ NN
   1 criminal defense attorney	_	JJ NN NN
   2 criminal defense lawyer	_	JJ NN NN
   1 cross check	_	VB VBZ
   1 cross examine	_	VB VBD
   1 crust on broad	_	NNP IN NNP
   2 cuban coffee	_	JJ NN
   1 cup of coffee	~	NN IN NN
   1 cup of joe	_	NN IN NN
   1 customer relations	_	NN NNS
  31 customer service	_	NN NN
   1 cut deal	_	VBD NNS
   1 cut deal	_	VBG NNS
   1 cut down	_	VBZ RP
   1 cut hair	_	VBZ NN
   1 cut nail	_	VBD NNS
   1 cut short	_	VBP JJ
   1 cycle city	_	NNP NNP
   1 daily special	~	JJ NNS
   1 damage to	~	NN IN
   1 dance floor	_	NN NN
   1 dave terrell	_	NNP NNP
   1 david bundren	_	NNP NNP
   1 days inn	_	NNPS NNP
   1 dead battery	~	JJ NN
   1 dead on	_	JJ JJ
   1 deal in	_	VBG IN
   7 deal with	_	VB IN
   1 deal with	_	VBD IN
   4 deal with	_	VBG IN
   2 deal with	_	VBN IN
   1 deal with	_	VBP IN
   1 deal with	~	VB IN
   1 deal with	~	VBG IN
   1 deal with	~	VBP IN
   1 deb watson	_	NNP NNP
   1 decline in	_	NN IN
   2 decor and you	_	NNP CC NNP
   1 deep condition	_	RB VBD
   2 deep tissue	_	JJ NN
   1 deli sandwich	_	NN NNS
   1 dental care	_	JJ NN
   1 dental work	_	JJ NN
   1 depend on	_	VBG IN
   1 desperate for	_	JJ IN
   1 despite the fact	_	IN DT NN
   1 destiny allison	_	NNP NNP
   1 detail job	~	NN NN
   1 dfw metro area	_	NNP NN NN
   1 different than	_	JJ IN
   1 dine in	_	VB RB
   2 dining room	_	NN NN
   1 dining room table	~	NN NN NN
   1 dinner plate	_	NN NNS
   1 direction take	_	NN VB
   1 disagree with	~	VBD IN
   1 disappointed in	_	JJ IN
   2 disappointed with	_	JJ IN
   1 discuss the matter	~	VB DT NN
   2 do a favor	_	VB DT NN
   3 do a job	_	VB DT NN
   6 do a job	_	VBD DT NN
   1 do a job	~	VB DT NN
   2 do a job	~	VBD DT NN
   1 do an job	~	VBZ DT NN
   1 do better	_	VB RBR
   3 do business	_	VB NN
   1 do business	~	VBD NN
   1 do business with	_	VBG NN IN
   1 do hair	_	VBZ NN
   1 do insurance	~	VBG NN
   1 do introduction	_	VBN NNS
   1 do introduction	_	VBP NNS
   1 do it	_	VBD PRP
   1 do job	_	VB NN
   1 do job	_	VBN NN
   1 do job	_	VBP NN
   1 do job	~	VB NN
   4 do job	~	VBD NN
   2 do job	~	VBN NN
   1 do job	~	VBP NN
   1 do job	~	VBZ NN
   1 do n't be surprised	~	VB RB VB JJ
   1 do n't even get me start	_	VBP RB RB VB PRP VBN
   1 do n't even think about	~	VBP RB RB VB IN
   1 do n't forget	~	VB RB VB
   1 do n't forget	~	VBP RB VB
   1 do n't get catch up in the hype	~	VB RB VB VBN RP IN DT NN
   1 do n't give a darn	~	VBP RB VB DT NN
   1 do n't judge a book by it cover	~	VB RB VB DT NN IN PRP$ NN
   1 do n't let fool you	~	VB RB VB VB PRP
   1 do nothing	~	VB NN
   1 do one on us	~	VBD CD IN PRP
   1 do paperwork	_	VBG NN
   1 do re-wiring	_	VBG NN
   2 do repair	~	VB NN
   1 do research	_	VBG NN
   1 do services	~	VBD NNS
   1 do so	_	VBD RB
   1 do surgery	_	VBD NN
   1 do wonder for	_	VBN NNS IN
   1 do work	_	VB NN
   3 do work	_	VBD NN
   1 do work	_	VBG NN
   1 do work	_	VBP NN
   1 do yourself a favor	_	VB PRP DT NN
   1 doctor 's office	_	NN POS NN
   1 doctor bogomilsky	_	NNP NNP
   2 doctor gonzales	_	NNP NNP
   2 doctor hank	_	NNP NNP
   1 doctor stout	_	NNP NNP
   1 dog fix	~	NN VBN
   1 dogwood grill cheese	_	NN VBN NN
   1 dos base	_	NNP VBN
   1 double bed	_	JJ NNS
   1 down fall	_	GW NN
   1 down side	_	NN NN
   1 down the road	_	IN DT NN
   1 down to earth	_	RB IN NN
   1 dr david nelson	_	NNP NNP NNP
   1 dr greenwalt	_	NNP NNP
   1 dr joseph	_	NNP NNP
   1 dr mcdonald	_	NNP NNP
   2 dr nelson	_	NNP NNP
   2 dr. aster	_	NNP NNP
   1 dr. chao	_	NNP NNP
   1 dr. christopher t. strzalka	_	NNP NNP NNP NNP
   1 dr. cooper	_	NNP NNP
   1 dr. de barros	_	NNP NNP NNP
   1 dr. deters	_	NNP NNP
   1 dr. dorn	_	NNP NNP
   1 dr. faris	_	NNP NNP
   1 dr. ghassemlou	_	NNP NNP
   2 dr. liau	_	NNP NNP
   1 dr. lucy nichols	_	NNP NNP NNP
   3 dr. mann	_	NNP NNP
   1 dr. obina	_	NNP NNP
   1 dr. olbina	_	NNP NNP
   1 dr. rohatgi	_	NNP NNP
   2 dr. romanick	_	NNP NNP
   2 dr. ruona	_	NNP NNP
   4 dr. shady	_	NNP NNP
   1 dr. stiefvater	_	NNP NNP
   1 dr. strzalka	_	NNP NNP
   2 dr. taylor	_	NNP NNP
   2 dr. wallen	_	NNP NNP
   1 dr. white	_	NNP NNP
   1 dress maker	_	NN NN
   1 drive force	_	VBG NN
   1 drive in	_	VBG RB
   3 drop off	_	VBD RP
   1 drop off	_	VBP RP
   1 drop the issue	_	VBD DT NN
   1 drs. ali	_	NNP NNP
   1 drug seeker	~	NN NN
   1 drug seeker	~	NN NNS
   1 drving up	_	VBG RB
   1 dry out	_	VBN RP
   1 dry out	_	VBP RP
  10 due to	_	IN IN
   1 dumb friends league	_	NNP NNPS NNP
   1 dupont circle	_	NNP NNP
   1 e-commerce solution	~	NN NNS
   1 each and every one of	_	DT CC DT CD IN
   1 each other	_	DT JJ
   2 eagle transmission	_	NNP NNP
   1 early on	_	RB RB
   1 east bay	_	NNP NNP
   1 east coast	_	JJ NN
   1 easy mark	~	JJ NN
   1 easy to work with	~	JJ TO VB IN
   1 eco friendly	_	AFX JJ
   1 egg drop soup	_	NNP NNP NNP
   1 egg roll	_	NN NNS
   1 eggs benedict	_	NNS NN
   2 el paradero	_	NNP NNP
   1 electric outlet	_	JJ NN
   1 elite flyers	_	NNP NNPS
   2 emission test	_	NNS NN
   1 enchilada sauce	_	NN NN
   1 end up	_	VB RP
   5 end up	_	VBD RP
   1 end up	_	VBP RP
   1 end up with	_	VBP RP IN
   2 endo sushi	_	NNP NNP
   1 energy burn	~	NN VB
   1 energy saving	~	NN NN
   1 enough say	_	JJ VBN
   1 enrol in	~	VBD IN
   1 enrol in	~	VBN IN
   1 environmentally conscious	~	RB JJ
   1 environmentally friendly	_	RB JJ
   1 eternally grateful	~	RB JJ
   1 eva marie	_	NNP NNP
   1 even if	_	RB IN
   1 even tho	_	RB IN
   3 even though	_	RB IN
   1 even up	_	VBN RP
   1 ever again	_	RB RB
   1 evergreen parkway	_	NNP NNP
   1 every one	_	DT NN
   2 every thing	_	DT NN
   1 exceed expectation	~	VBZ NNS
   1 except for	_	IN IN
   1 excuse for	_	NN IN
   1 exhaust motor	~	NN NN
   1 experience have	_	NNS VBN
   1 fabric book	_	NN NNS
   1 face with	_	VBN IN
   2 faith in	_	NN IN
   1 fall for	_	VB IN
   1 fall head over heel for	~	VBD NN IN NNS IN
   1 fall in love	_	VB IN NN
   1 fall in luv	~	VBN IN NN
   1 fall into trap	~	VBN IN NN
   1 fall off	~	VBG RB
   1 fall under	_	VBZ IN
   2 family bagels	_	NNP NNPS
   1 family business	_	NN NN
   1 family emergency	_	NN NN
   1 family fun	_	NN NN
   1 family oriented	~	NN JJ
   1 family own	~	NN VBN
   1 family own and operate	~	NN VBN CC VBN
   1 family practice	_	NN NN
   1 fancy flowers	_	NNP NNPS
   1 far from	_	RB IN
   2 farrell electric	_	NNP NNP
   1 fashion accessory	_	NN NNS
   1 fast and friendly	~	JJ CC JJ
   3 fast food	_	JJ NN
   1 federal sts.	_	NNP NNPS
   1 feel about	~	VBP IN
   1 feel good	_	VB JJ
   1 feel like a number	_	VB IN DT NN
   1 feel like a number	_	VBZ IN DT NN
   1 feel like it	_	VBP IN PRP
   1 feel need for	_	VBG NN IN
   1 felt like	_	VBD IN
   1 felt the need	_	VBN DT NN
   1 fend for	_	VB IN
   1 fidelity leasing	_	NNP NNP
   2 figure out	_	VB RP
   1 fill role	_	VBN NN
