ewtb.r.008585.5:51	to	Destination	They tracked down the only tire that fit my BMW 330i in Murfreesboro within minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it |to| their shop to change the tire .
ewtb.r.008585.5:54	to	Purpose	They tracked down the only tire that fit my BMW 330i in Murfreesboro within minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop |to| change the tire .
ewtb.r.008585.6:15	on	State	They were back quickly considering how far outside of Murfreesboro we were and had us |on| our way by 6:30 that evening .
ewtb.r.008585.6:18	by	RelativeTime	They were back quickly considering how far outside of Murfreesboro we were and had us on our way |by| 6:30 that evening .
ewtb.r.008585.6:2	back	Location	They were |back| quickly considering how far outside of Murfreesboro we were and had us on our way by 6:30 that evening .
ewtb.r.008585.6:7	outside of	Location	They were back quickly considering how far |outside| |of| Murfreesboro we were and had us on our way by 6:30 that evening .
ewtb.r.008585.7:11	from	Donor/Speaker	Thanks Bud for all of your help and taking time away |from| your family that evening .
ewtb.r.008585.7:2	for	Reciprocation	Thanks Bud |for| all of your help and taking time away from your family that evening .
ewtb.r.008585.7:4	of	Quantity	Thanks Bud for all |of| your help and taking time away from your family that evening .
ewtb.r.008585.8:2	without	State	It 's |without| a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price for putting on the other rear tire .
ewtb.r.008585.8:32	in	Location	It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy |in| Nashville 's price for putting on the other rear tire .
ewtb.r.008585.8:36	for	Theme	It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price |for| putting on the other rear tire .
ewtb.r.008585.8:38	on	Location	It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price for putting |on| the other rear tire .
ewtb.r.008585.9:7	in	DeicticTime	I hope I can return the favor |in| the future !
ewtb.r.009596.2:12	in	Location	This store is by far the worst Verizon store I 've been |in| .
ewtb.r.009596.2:3	by far	Extent	This store is |by| |far| the worst Verizon store I 've been in .
ewtb.r.009596.4:7	to	Destination	Incredibly rude and I will not return |to| it .
ewtb.r.009596.5:5	to	Purpose	Is there no other Verizon |to| go to around Downtown / Dupont Circle 1?!?!?
ewtb.r.009596.5:7	to	Destination	Is there no other Verizon to go |to| around Downtown / Dupont Circle 1?!?!?
ewtb.r.009596.5:8	around	2DArea	Is there no other Verizon to go to |around| Downtown / Dupont Circle 1?!?!?
ewtb.r.009775.3:14	around	Location	Salad bar is hit and miss for freshness - sometimes the broccoli looks browned |around| the edges .
ewtb.r.009775.3:6	for	Attribute	Salad bar is hit and miss |for| freshness - sometimes the broccoli looks browned around the edges .
ewtb.r.009943.1:19	up	1DTrajectory	such a great idea this was , so easy to load and pack , no ramp , no step |up| no back aches .
ewtb.r.009943.2:1	with	Instrument	moving |with| a pod was the best moving experience i have had .
ewtb.r.009970.3:11	of	Theme	All the food tasted excellent , and with the new renovation |of| chairs and the bathroom , it is awesome .
ewtb.r.009970.3:7	with	Circumstance	All the food tasted excellent , and |with| the new renovation of chairs and the bathroom , it is awesome .
ewtb.r.009970.6:12	to	Recipient	Overall , it is very family oriented , and I recommend it |to| everyone !!!
ewtb.r.010378.3:0	During	Duration	|During| the session , he demanded to have my physical address , which I 've always kept private as I am enrolled in a witness protection program .
ewtb.r.010378.3:18	as	Explanation	During the session , he demanded to have my physical address , which I 've always kept private |as| I am enrolled in a witness protection program .
ewtb.r.010378.3:22	in	Theme	During the session , he demanded to have my physical address , which I 've always kept private as I am enrolled |in| a witness protection program .
ewtb.r.010378.4:12	for	Explanation	I believe he is correct in that he needs my physical address |for| legal reasons , however , he did not adequately explain this during our session .
ewtb.r.010378.4:24	during	Duration	I believe he is correct in that he needs my physical address for legal reasons , however , he did not adequately explain this |during| our session .
ewtb.r.010378.5:3	about	Topic	I learned more |about| this doing my own research afterward .
ewtb.r.010378.5:9	afterward	RelativeTime	I learned more about this doing my own research |afterward| .
ewtb.r.010378.6:11	by	Means	I think he could 've done more to assuage my concerns |by| giving me concrete facts .
ewtb.r.010393.1:4	of	Superset	Auto Towing is one |of| the best towing services I have used .
ewtb.r.010393.2:13	for	Beneficiary	The first time I used them they arrived on time and towed car |for| me to the destination I needed .
ewtb.r.010393.2:15	to	Destination	The first time I used them they arrived on time and towed car for me |to| the destination I needed .
ewtb.r.010393.2:8	on time	Time	The first time I used them they arrived |on| |time| and towed car for me to the destination I needed .
ewtb.r.010393.3:5	for	ProfessionalAspect	The auto mechanics that work |for| Auto Towing are very friendly and informative and answered any question I had .
ewtb.r.010393.4:15	with	Stimulus	They have towed car for me a few times and I am always very satisfied |with| this services .
ewtb.r.010393.4:4	for	Beneficiary	They have towed car |for| me a few times and I am always very satisfied with this services .
ewtb.r.010393.5:23	for	Beneficiary	If you are looking for towing services that can offer you a good towed car service , then Auto Towing is the company |for| you .
ewtb.r.010393.5:4	for	Theme	If you are looking |for| towing services that can offer you a good towed car service , then Auto Towing is the company for you .
ewtb.r.010433.2:4	for	Theme	No silverware , asked |for| a spoon for my son s mac and cheese ended up having to use my tea spoon .
ewtb.r.010433.2:7	for	Purpose	No silverware , asked for a spoon |for| my son s mac and cheese ended up having to use my tea spoon .
ewtb.r.010433.3:1	for	Theme	Asked |for| bar - b - que sauce never got it .
ewtb.r.010433.4:3	with	Recipient	Never checked back |with| us once we got our food .
ewtb.r.010433.5:10	to	Purpose	Had to go the the bus boy s station ourselves |to| get napkins .
ewtb.r.010433.6:7	with	Co-Agent	Only one server , too buys talking |with| others I guess .
ewtb.r.010433.7:9	to	Experiencer	Food was good , but service means a lot |to| me .
ewtb.r.010450.1:0	As	Attribute	|As| a native southern Californian I can tell you that this is not authentic Mexican food .
ewtb.r.010820.1:11	all over	Location	The moving company is actualy based in Brooklyn , but advertised |all| |over| NY / NJ , including Fort Lee .
ewtb.r.010820.11:11	on	Location	You have to pay CASH ONLY before they start unloading track |on| your destination .
ewtb.r.010820.11:6	before	RelativeTime	You have to pay CASH ONLY |before| they start unloading track on your destination .
ewtb.r.010820.1:6	in	Location	The moving company is actualy based |in| Brooklyn , but advertised all over NY / NJ , including Fort Lee .
ewtb.r.010820.2:24	from	InitialLocation	When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming |from| Brooklyn and extra $ 100 for them to drive back from your destination .
ewtb.r.010820.2:30	for	Purpose	When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 |for| them to drive back from your destination .
ewtb.r.010820.2:34	back	Direction	When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 for them to drive |back| from your destination .
ewtb.r.010820.2:35	from	InitialLocation	When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 for them to drive back |from| your destination .
ewtb.r.010820.2:8	than	Comparison/Contrast	When the guys arrived ( 2 hours later |than| agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 for them to drive back from your destination .
ewtb.r.010820.3:3	in	State	That was not |in| agreement eather , but they realy demand it .
ewtb.r.010820.4:4	for	Theme	And another $ 100 |for| wrapping the furniture .
ewtb.r.010820.5:5	for	Purpose	So totalling $ 212 just |for| start before any work started .
ewtb.r.010820.5:7	before	RelativeTime	So totalling $ 212 just for start |before| any work started .
ewtb.r.010820.6:5	in	Locus	Guess what , was not |in| the initial agreement as well .
ewtb.r.010820.7:11	for	Experiencer	I was moving out from 2 bdr apartment and it took |for| 3 strong guys 6 hours to load a track ( from 2 pm - 8 pm ) .
ewtb.r.010820.7:22	from	StartTime	I was moving out from 2 bdr apartment and it took for 3 strong guys 6 hours to load a track ( |from| 2 pm - 8 pm ) .
ewtb.r.010820.7:3	out	Direction	I was moving |out| from 2 bdr apartment and it took for 3 strong guys 6 hours to load a track ( from 2 pm - 8 pm ) .
ewtb.r.010820.7:4	from	InitialLocation	I was moving out |from| 2 bdr apartment and it took for 3 strong guys 6 hours to load a track ( from 2 pm - 8 pm ) .
ewtb.r.010820.8:8	instead of	Comparison/Contrast	The only reason I 'm giving 3 stars |instead| |of| 1 or 2 , I should admit , nothing was broken .
ewtb.r.011257.2:5	in	Location	I googled Garage Door Repair |in| Woodinville and found NDI - Johnette answered the phone and was oh - so pleasant and helpful !
ewtb.r.011257.3:10	to	Purpose	She sort of appologized for Dan taking the day off |to| go skiing - but he could do the repair on Sunday !
ewtb.r.011257.3:20	on	Time	She sort of appologized for Dan taking the day off to go skiing - but he could do the repair |on| Sunday !
ewtb.r.011257.3:4	for	Reciprocation	She sort of appologized |for| Dan taking the day off to go skiing - but he could do the repair on Sunday !
ewtb.r.011257.4:11	to	Purpose	I said great and Dan arrived on time at 10 am |to| make the repair .
ewtb.r.011257.4:6	on time	Time	I said great and Dan arrived |on| |time| at 10 am to make the repair .
ewtb.r.011257.4:8	at	Time	I said great and Dan arrived on time |at| 10 am to make the repair .
ewtb.r.011257.5:15	for	Purpose	I enjoyed speaking with Dan , and learning more about how the springs are sized |for| these doors .
ewtb.r.011257.5:3	with	Co-Agent	I enjoyed speaking |with| Dan , and learning more about how the springs are sized for these doors .
ewtb.r.011257.5:9	about	Topic	I enjoyed speaking with Dan , and learning more |about| how the springs are sized for these doors .
ewtb.r.011257.7:11	to	Recipient	I would highly recommend NDI - and will spread the word |to| my neighbors .
ewtb.r.011257.8:4	for	Reciprocation	Thanks Dan and Johnette |for| your responsiveness and professional service .
ewtb.r.011806.1:7	at	Location	absolutely fantastic experience getting my iphone upgraded |at| Zion ...
ewtb.r.011806.2:12	under	Location	Sheer contrast to getting it done at karol bagh which is done |under| the wooden plank
ewtb.r.011806.2:2	to	Comparison/Contrast	Sheer contrast |to| getting it done at karol bagh which is done under the wooden plank
ewtb.r.011806.2:6	at	Location	Sheer contrast to getting it done |at| karol bagh which is done under the wooden plank
ewtb.r.012047.3:10	in	Theme	These guys know what they 're doing and helped me |in| all phases of our project .
ewtb.r.012047.3:13	of	Whole	These guys know what they 're doing and helped me in all phases |of| our project .
ewtb.r.014483.2:0	After	RelativeTime	|After| firing this company my next pool service found the filters had not been cleaned as they should have been .
ewtb.r.014483.2:15	as	Attribute	After firing this company my next pool service found the filters had not been cleaned |as| they should have been .
ewtb.r.014764.3:2	from	Donor/Speaker	Many thanks |from| myself and all of our wedding guests !
ewtb.r.014764.3:6	of	Superset	Many thanks from myself and all |of| our wedding guests !
ewtb.r.015148.2:14	in	Location	Especially high end keep sake sort of clothing that you just ca nt find |in| a lot of stores .
ewtb.r.015148.2:17	of	Superset	Especially high end keep sake sort of clothing that you just ca nt find in a lot |of| stores .
ewtb.r.015148.2:6	of	Species	Especially high end keep sake sort |of| clothing that you just ca nt find in a lot of stores .
ewtb.r.015148.5:8	for	Duration	After all she will only be a baby |for| so long I figure why not enjoy it .
ewtb.r.015573.5:1	away	Direction	Run |away| .
ewtb.r.016861.1:1	in	Location	Stayed |in| the Seaview room here in December 2009 !
ewtb.r.016861.1:6	in	Time	Stayed in the Seaview room here |in| December 2009 !
ewtb.r.016861.4:11	in	Location	I highly recommend Bay View if you are looking for Accommodation |in| Camps Bay .
ewtb.r.016861.4:9	for	Theme	I highly recommend Bay View if you are looking |for| Accommodation in Camps Bay .
ewtb.r.017235.2:2	for	Function	Great place |for| Antique Lighting !
ewtb.r.017235.4:1	of	Superset	Lots |of| collections , many antique light fixtures , Chandeliers , custom lighting etc .
ewtb.r.017235.7:4	for	Purpose	I would recommend them |for| any custom lighting or Lighting Repair and Restoration Chicago
ewtb.r.017345.10:4	back	Direction	I 'll never go |back| there again
ewtb.r.017345.2:13	of	Superset	Got some nice " freshly baked " fruit squares , a personal favorite |of| mine .
ewtb.r.017345.4:3	over	Location	Flipped the square |over| and saw it riddled with green mold !!!!
ewtb.r.017345.4:8	with	Theme	Flipped the square over and saw it riddled |with| green mold !!!!
ewtb.r.018268.1:3	around	2DArea	best square slice |around| .
ewtb.r.018465.10:3	around	Location	The other stylists |around| me kept pressuring me saying he 's so wonderful , you 're going to love your hair .
ewtb.r.018465.12:19	as to	Topic	Derrick did a terrible job , was a complete jerk the entire time , and I had no warning |as| |to| the price .
ewtb.r.018465.1:3	from Hell	Source	The Salon Experience |from| |Hell|
ewtb.r.018465.14:12	like	Comparison/Contrast	He then " fixed " it for free but it still looked |like| crap .
ewtb.r.018465.14:6	for	Value	He then " fixed " it |for| free but it still looked like crap .
ewtb.r.018465.15:4	back	Direction	I will never go |back| .
ewtb.r.018465.16:5	from Hell	Source	It was the salon experience |from| absolutely |Hell| .
ewtb.r.018465.17:10	of	Whole	He also told me that he worked on the cast |of| will and grace and that they were all jerks .
ewtb.r.018465.17:7	on	Patient	He also told me that he worked |on| the cast of will and grace and that they were all jerks .
ewtb.r.018465.18:5	of all time	Extent	That 's my favorite show |of| |all| |time| .
ewtb.r.018465.19:4	for	Experiencer	I 'm pretty sure |for| the cast that it was the other way around .
ewtb.r.018465.22:1	AWAY	Direction	STAY |AWAY| !
ewtb.r.018465.3:1	out of	StartState	Right |out| |of| college I called the salon and explained my situation .
ewtb.r.018465.5:16	to	Purpose	I never got a price quote over the phone and they take your cc info just |to| make the appointment because if you do n't show up , they 'll charge you .
ewtb.r.018465.5:6	over the phone	Via	I never got a price quote |over| |the| |phone| and they take your cc info just to make the appointment because if you do n't show up , they 'll charge you .
ewtb.r.018465.6:6	from	InitialLocation	I had this ridiculous celebrity stylist |from| LA named Derrick .
ewtb.r.018465.7:0	After	RelativeTime	|After| he already put product on my hair he said " I should warn you , I 'm expensive . "
ewtb.r.018465.7:5	on	Location	After he already put product |on| my hair he said " I should warn you , I 'm expensive . "
ewtb.r.018465.8:16	with	Attribute	What was I supposed to do , say I ca n't afford you and walk out |with| crap all over my hair .
ewtb.r.018465.8:18	all over	2DArea	What was I supposed to do , say I ca n't afford you and walk out with crap |all| |over| my hair .
ewtb.r.018465.9:13	throughout	2DArea	I wanted to be very blonde and instead he pulled my root color |throughout| my whole hair which is a gross mousey brown .
ewtb.r.018548.11:11	to	Patient	it runs you about 4 bucks and it deals crushing blows |to| hunger .
ewtb.r.018548.11:3	about	Approximator	it runs you |about| 4 bucks and it deals crushing blows to hunger .
ewtb.r.018548.12:15	before	DeicticTime	** Edit : Living on campus at Clarkson University , I have had food delivered |before| .
ewtb.r.018548.12:4	on	Location	** Edit : Living |on| campus at Clarkson University , I have had food delivered before .
ewtb.r.018548.12:6	at	Location	** Edit : Living on campus |at| Clarkson University , I have had food delivered before .
ewtb.r.018548.13:2	back	DeicticTime	This was |back| between '05 and '09 and I do n't remember how many times we 've had it delivered .
ewtb.r.018548.13:3	between	RelativeTime	This was back |between| '05 and '09 and I do n't remember how many times we 've had it delivered .
ewtb.r.018548.14:10	of	Possessor	Perhaps they do n't deliver anymore , but the deliciousness |of| a mezza luna certainly warrants a pickup .
ewtb.r.018548.2:6	than	Scalar/Rank	their mezza luna's are deffly better |than| the pizza rolls .
ewtb.r.018548.3:14	inside	Location	it s like a pizza roll , but they just toss ham and cheese |inside| .
ewtb.r.018548.3:2	like	Comparison/Contrast	it s |like| a pizza roll , but they just toss ham and cheese inside .
ewtb.r.018548.4:2	like	Comparison/Contrast	it seems |like| it s healthier too , but it s prolly not .
ewtb.r.018548.5:13	to	Purpose	also , you can call em ahead of time , and then go |to| pick up ur food , or have it delivered ** .
ewtb.r.018548.5:6	ahead of time	RelativeTime	also , you can call em |ahead| |of| |time| , and then go to pick up ur food , or have it delivered ** .
ewtb.r.018548.6:3	on	Theme	that cuts down |on| teh wait time , cus u can do other stuff while u r waiting .
ewtb.r.018548.7:10	as	Explanation	it usually takes 20 mins for a mezza luna , |as| they have to add pure delicious extract to the mix .
ewtb.r.018548.7:18	to	Co-Theme	it usually takes 20 mins for a mezza luna , as they have to add pure delicious extract |to| the mix .
ewtb.r.018548.7:5	for	Purpose	it usually takes 20 mins |for| a mezza luna , as they have to add pure delicious extract to the mix .
ewtb.r.018548.8:6	for	Experiencer	their pizza was a little salty |for| me , but it s still good .
ewtb.r.018548.9:10	between	Location	they do that whole thing where you sandwich the pepperoni |between| layers of cheese for + 32 delicious .
ewtb.r.018548.9:12	of	Quantity	they do that whole thing where you sandwich the pepperoni between layers |of| cheese for + 32 delicious .
ewtb.r.018548.9:14	for	Purpose	they do that whole thing where you sandwich the pepperoni between layers of cheese |for| + 32 delicious .
ewtb.r.018562.2:10	for	Beneficiary	I want to say that Mike did a great job |for| our family in our time of need .
ewtb.r.018562.2:13	in time of need	Time	I want to say that Mike did a great job for our family |in| our |time| |of| |need| .
ewtb.r.018562.3:7	apart	RelativeTime	Both my grandparents passed away 4 months |apart| and Mike was very understanding .
ewtb.r.018562.4:6	for	Experiencer	It was a very trying time |for| my family and myself yet Mike took the time to greet each and every one one of us .
ewtb.r.018562.5:19	for	Explanation	He is very professional in his position as a director and yet he still made time to be compassionate |for| what we were all going through .
ewtb.r.018562.5:4	in	ProfessionalAspect	He is very professional |in| his position as a director and yet he still made time to be compassionate for what we were all going through .
ewtb.r.018562.5:7	as	Attribute	He is very professional in his position |as| a director and yet he still made time to be compassionate for what we were all going through .
ewtb.r.018562.6:16	in	DeicticTime	I 'm sure it s not every day that a funeral director sees the same family |in| such a short time .
ewtb.r.018562.7:14	after	Explanation	My grandfather passed away silently in his sleep , and my grandmother passed away |after| a short struggle with cancer .
ewtb.r.018562.7:18	with	Co-Agent	My grandfather passed away silently in his sleep , and my grandmother passed away after a short struggle |with| cancer .
ewtb.r.018562.7:5	in	State	My grandfather passed away silently |in| his sleep , and my grandmother passed away after a short struggle with cancer .
ewtb.r.018562.9:3	for	Reciprocation	Thank you Mike |for| all your help professionally and personally .
ewtb.r.020851.1:3	in Town	Location	The Best Deals |in| |Town|
ewtb.r.020851.2:0	Before	RelativeTime	|Before| you buy ANYTHING in NY , make sure you stop by Jack -s first .
ewtb.r.020851.2:4	in	Location	Before you buy ANYTHING |in| NY , make sure you stop by Jack -s first .
ewtb.r.020851.3:18	at	Location	Their selection is random , so what they have on a given week might never be available again |at| the store .
ewtb.r.020851.3:9	on	Time	Their selection is random , so what they have |on| a given week might never be available again at the store .
ewtb.r.020851.4:3	for	Purpose	I love it |for| discounted beauty items and household appliances .
ewtb.r.020851.5:12	back	Direction	Trust me , you go there once and you -ll always go |back| !
ewtb.r.020957.2:4	to	Destination	I wo n't go |to| anyone else .
ewtb.r.020992.10:16	of	Possessor	This little drip offered no apologies whatsoever , and even refused to give me the name |of| the manager until I pressed him for it 3 times .
ewtb.r.020992.10:19	until	EndTime	This little drip offered no apologies whatsoever , and even refused to give me the name of the manager |until| I pressed him for it 3 times .
ewtb.r.020992.11:12	with	Theme	This hotel is adequate enough , but there is an obvious problem |with| the staff and management .
ewtb.r.020992.12:9	through	Duration	Do not go there if you expect to sleep |through| the night .
ewtb.r.020992.2:3	for	Duration	I was booked |for| 2 nights at this hotel in Oct 2007 .
ewtb.r.020992.2:6	at	Location	I was booked for 2 nights |at| this hotel in Oct 2007 .
ewtb.r.020992.2:9	in	Time	I was booked for 2 nights at this hotel |in| Oct 2007 .
ewtb.r.020992.3:0	At	Time	|At| 3:15 am on night # 2 , the fire alarm and strobe light activated in my room .
ewtb.r.020992.3:15	in	Location	At 3:15 am on night # 2 , the fire alarm and strobe light activated |in| my room .
ewtb.r.020992.3:3	on	Time	At 3:15 am |on| night # 2 , the fire alarm and strobe light activated in my room .
ewtb.r.020992.7:0	After	RelativeTime	|After| checking for signs of fire or smoke and seeing none , I decided to just pack up and leave .
