,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.108338.3:8,@ablodgett,'s,'s,Agent,Possessor,That 's 3 x worse than Qwest DSL |'s| lowest speed offering !
ewtb.r.117115.13:14,@ablodgett,'s,'s,SocialRel,Possessor,"I rarely write reviews such as this one , but they certainly deserve anyone |'s| business !"
ewtb.r.127157.4:17,@ablodgett,'s,'s,Theme,Possessor,"One guy is a little surley , but who gives a crap as long as your car |'s| work is outstanding ."
ewtb.r.156460.4:4,@ablodgett,'s,'s,Possessor,Possessor,"I regularly request Kim |'s| business cards as I am often stopped on the street and asked "" Who does your hair ... I LOVE it !!! """
ewtb.r.162702.2:8,@ablodgett,'s,'s,Agent,Possessor,I was soooo lucky to have used Marlon |'s| photography services .... such a creative and talented photographer and a pleasure to work with .
ewtb.r.165032.1:8,@ablodgett,'s,'s,Possessor,Possessor,Michael helped shoot the majority of my firm |'s| website and we could not have been happier .
ewtb.r.186284.2:8,@ablodgett,'s,'s,Possessor,Possessor,I used Fancy Flowers for my late husband |'s| funeral flowers as they had been recommended to me .
ewtb.r.216456.10:12,@ablodgett,'s,'s,Originator,Possessor,"In one of the emails I attached the letter from the Vet |'s| that expressed their sympathy , this hotel did nothing ."
ewtb.r.240287.2:5,@ablodgett,'s,'s,Beneficiary,Possessor,Boutique stores dealing in children |'s| clothing / gifts are often outrageously priced ( who wants to pay 40 dollars for a newborn onesie ? )
ewtb.r.240287.3:11,@ablodgett,'s,'s,Gestalt,Possessor,"but I was pleasantly surprised to find that the Purple Goose |'s| prices are reasonable ( for the SAME products found at other area boutiques , the prices were 20 - 25 % cheaper ) ."
ewtb.r.247097.8:18,@ablodgett,'s,'s,SocialRel,Possessor,Before coming to Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend |'s| aunt recommended it .
ewtb.r.257296.2:1,@ablodgett,'s,'s,Possessor,Possessor,"HCC |'s| new nine was a little shaky at first , but the NEW grounds superintendant has done wonders for the course !!"
ewtb.r.275919.10:11,@ablodgett,'s,'s,Patient,Possessor,Billing takes 15 minutes and back office jobs takes 1 day |'s| training How fast your support queries get answered ?
ewtb.r.278775.9:6,@ablodgett,'s,'s,Gestalt,Possessor,"We are absolutely confident that Stuart |'s| ethical and focused strategies will see these trends continue to grow , and our business will reap the rewards of this program ."
ewtb.r.290594.10:8,@ablodgett,'s,'s,Possessor,Possessor,But not at a risk to other people |'s| pets .
ewtb.r.291088.2:5,@ablodgett,'s,'s,OrgRole,Possessor,I have visited Dr. Cooper |'s| office twice and I am very impressed with how friendly and polite the staff is .
ewtb.r.306740.1:1,@ablodgett,'s,'s,Location,Possessor,Miami |'s| best tutoring service !
ewtb.r.314974.4:17,@ablodgett,'s,'s,Gestalt,Possessor,"If you can not park in the lot , then you can park in the shopping center |'s| garage , and walk up to Endo Sushi ."
ewtb.r.329692.2:9,@ablodgett,'s,'s,Time,Possessor,"January 15th -- We were signed up for Saturday |'s| 2 PM class "" Beginning Yoga with Brittany . """
ewtb.r.329692.9:2,@ablodgett,'s,'s,Time,Possessor,"In today |'s| instant world , there 's no reason for the instructor not to even have given us a phone call or e-mail if she was going to be late ."
ewtb.r.338429.2:4,@ablodgett,'s,'s,Gestalt,Possessor,Myself and my fiance |'s| identity was stolen from the office staff .
ewtb.r.361545.4:15,@ablodgett,'s,'s,Duration,Possessor,"I availed myself of the wash 'n fold service , taking just about a year |'s| worth of dirty clothes in and getting back neatly folded , clean clothes in clear plastic bags ( I 'd originally brought them in , in six large yellow garbage bags ) ."
ewtb.r.101972.11:14,@ablodgett,a least,,Approximator,,My conclusion is that you should only go there if you want to wait |a| |least| an hour and see all kinds other people being seated before you .
ewtb.r.007403.2:11,@ablodgett,about,,Topic,,"Hello my name is Vera and I 'm writing a review |about| my own counseling practice in Bellevue , WA. and in Renton WA ."
ewtb.r.007403.6:7,@ablodgett,about,,Topic,,Please visit my website to learn more |about| my practice at www.veraakulov.com .
ewtb.r.010378.5:3,@ablodgett,about,,Topic,,I learned more |about| this doing my own research afterward .
ewtb.r.039383.2:14,@ablodgett,about,,Stimulus,,"Pros : * Jill , the owner , is very nice and really cares |about| her feedback * Pretty nice atmosphere * Great Dessert * Not your typical veggie selection , I like !"
ewtb.r.042416.7:36,@ablodgett,about,,Topic,,"We can not wait to go back to Santa Fe and to this great B&B ... especially my 4 year old , who made friends with Ms. Sue and all the ladies , and has talked |about| them since we left !"
ewtb.r.043020.15:31,@ablodgett,about,,Topic,,So I figure if they do n't want to take the time to fix the fence that they installed then I 'll take the time to let everyone I can know |about| how they treat customers once they have your money !!!
ewtb.r.055976.5:9,@ablodgett,about,,Topic,,I sincerely wonder if the doctor has a clue |about| what is going on within his practice .
ewtb.r.059005.3:3,@ablodgett,about,,Approximator,,I go in |about| every morning to get bagels for myself or my co-workers and the employees at Max 's are great !!
ewtb.r.071278.2:7,@ablodgett,about,,Topic,,I ca n't say enough good things |about| Karla and the wonderful things she has done for me and my dog Gracee .
ewtb.r.071278.6:9,@ablodgett,about,,Stimulus,,"She is caring , punctual , and very enthusiastic |about| her job !"
ewtb.r.074896.5:15,@ablodgett,about,,Topic,,"I came in for alterations ( free , by the way ) and told her |about| a stain I had on my new leather purse ."
ewtb.r.081934.4:30,@ablodgett,about,,Topic,,"As I have gone through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews |about| Liquidweb also Steven never faced any server issues in his whole hosting ."
ewtb.r.101398.4:3,@ablodgett,about,,Attribute,,Napa is all |about| wine but gives very short descriptions of the wines on their lists .
ewtb.r.101398.6:8,@ablodgett,about,,Topic,,If you must go ask lots of questions |about| your selections since your expectations may as high as mine were .
ewtb.r.101972.3:5,@ablodgett,about,,Approximator,,We signed our name in |about| 6:00 pm .
ewtb.r.107692.8:5,@ablodgett,about,,Topic,,"And do n't even think |about| asking to speak to the manager because this guy is , and pardon my French , a jerk ."
ewtb.r.148971.17:28,@ablodgett,about,,Topic,,"If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking |about| when he recommends procedures at other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one for you ."
ewtb.r.148971.2:4,@ablodgett,about,,Topic,,"I am not sure |about| the quality of the other doctors there , but i do know from personal experience that Dr. Christopher T. Strzalka is not a man of his word , and is also very CRUEL AND UNCARING !!"
ewtb.r.188548.10:34,@ablodgett,about,,Topic,,There were no other options available ( I only brought my check card to cover any overage cost ) and she rang it up and applied it to the gift card before telling me |about| the tip policy .
ewtb.r.190256.4:11,@ablodgett,about,,Approximator,,The best part is I got my whole bathroom remodeled for |about| the same price the other compan's were quoting just to fix the shower tile and fixtures .
ewtb.r.190256.5:6,@ablodgett,about,,Approximator,,They had the work done in |about| half the time quoted which made me and my wife extremely happy .
ewtb.r.194316.2:34,@ablodgett,about,,Stimulus,,"OMG .. make sure to book a reservation , as this magical place is packed ( in a nice way ) I love that the owner walks around and cares how his customers feel |about| their food ."
ewtb.r.211797.13:22,@ablodgett,about,,Topic,,"Aside from that little * mystery * , one of the sales ladies was quite comfortable telling me how wrong I was |about| how another dress that I loved compared to one of her dresses that I was trying on ."
ewtb.r.235423.11:5,@ablodgett,about,,Approximator,,We had to throw out |about| 80 percent of our meals because the food tasted so horrible .
ewtb.r.247097.7:11,@ablodgett,about,,Approximator,,I am now more at peace and my food craving is |about| 99 % gone after only 3 treatments .
ewtb.r.247097.8:10,@ablodgett,about,,Topic,,Before coming to Acupuncture DOCTOR I was a big baby |about| needles and only came because my boyfriend 's aunt recommended it .
ewtb.r.251475.3:25,@ablodgett,about,,Stimulus,,"In a few words ... I 'm pleasantly surprised that you can still find "" old school "" service out there where company care more |about| good name and customers than their pockets ..."
ewtb.r.274106.3:6,@ablodgett,about,,Topic,,"My sister in law told me |about| this amazing new crepe place in town , I was so excited I just wanted to go and test it out for my self !"
ewtb.r.275595.3:13,@ablodgett,about,,Topic,,and hopefully you do not know the same people because he tells others |about| you payment status .
ewtb.r.280844.3:7,@ablodgett,about,,Topic,,He was willing to talk to me |about| my specific issues and develop a plan of action .
ewtb.r.285133.1:43,@ablodgett,about,,Stimulus,,Hair By Nivine in eastgardens fixed my hair after i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now for 2 years always happy and they care |about| my hair had my hair done for my wedding it looked fabolous !
ewtb.r.319816.25:11,@ablodgett,about,,Topic,,"Of course , they could n't call him either to ask |about| it because apparently they do n't keep their employees ' phone numbers ( riiight ) , so I would have to return on Monday ( driving for 3 days now with no wheel lock should I get a flat ) ."
ewtb.r.319816.29:13,@ablodgett,about,,Stimulus,,I will never return there again ( and now have some serious doubts |about| the quality of work they actually performed on my car ) .
ewtb.r.319816.4:2,@ablodgett,about,,Approximator,,"I waited |about| 20 minutes in the store part before anyone was able to assist me and was then told to pull my car into the shop ( that is apparently what you are supposed to do , but the big signs pointing you that way are for some reason kept inside the garage , so you do n't see them drving up , and they purposely block the front pull - up that all other Sear's use ) ."
ewtb.r.326649.3:8,@ablodgett,about,,Stimulus,,the staff is very personable & actually care |about| the customers safety rather than taking there money .
ewtb.r.330966.5:10,@ablodgett,about,,Topic,,"I chose the later , but approached the front desk |about| the hotel policy to push over their responsibilities on local authorities , not to mention the good night s sleep i paid for but did nt get ."
ewtb.r.332105.3:18,@ablodgett,about,,Stimulus,,"He was prompt , knowledgable , friendly , clean and just an overall great guy who obviously cares |about| his business ."
ewtb.r.336049.4:32,@ablodgett,about,,Topic,,"Very frustrating for a restaurant that has 1 rosette and is supposedly renowned for the service ... hmm There was no canape's or amuse to keep us occupied , once we complained |about| the wait they took us something to nibble on but that took us getting out our chairs and wondering round to do that and it was impossible to get anyone s attention ."
ewtb.r.342811.12:6,@ablodgett,about,,Topic,,"When we called the front desk |about| an extremely boisterous crowd in the hall outside our door quite late at night , it seemed to take the hotel staff quite a while to quiet them down ."
ewtb.r.351058.3:25,@ablodgett,about,,Topic,,"the food was horrible not cooked like it should be , they got the order wrong on a number of occasions , and once forgot |about| my order ."
ewtb.r.354336.3:10,@ablodgett,about,,Topic,,"Try their weekend "" tastings "" which you can learn |about| by getting on their weekly email list ."
ewtb.r.365630.3:9,@ablodgett,about,,Topic,,"He took the time to explain things to me |about| my computer , i would recommend you go to him ."
ewtb.r.391012.7:16,@ablodgett,about,,Topic,,I 've spoken to vendors who are used by them who had nothing good to say |about| the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.398243.10:18,@ablodgett,about,,Stimulus,,"I grew up in a small town where you knew and trusted your mechanic and was really cynical |about| city auto repair shops since I moved here , but Phet has shown that there really are honest hard working mechanics around ."
ewtb.r.128636.4:10,@ablodgett,according to,,Manner,,He was patient and adapted when everything did n't go |according| |to| schedule on my wedding day .
ewtb.r.014483.2:0,@ablodgett,After,,?RelativeTime,,|After| firing this company my next pool service found the filters had not been cleaned as they should have been .
ewtb.r.018465.7:0,@ablodgett,After,,RelativeTime,,"|After| he already put product on my hair he said "" I should warn you , I 'm expensive . """
ewtb.r.018562.7:14,@ablodgett,after,,Explanation,,"My grandfather passed away silently in his sleep , and my grandmother passed away |after| a short struggle with cancer ."
ewtb.r.026883.6:0,@ablodgett,After,,RelativeTime,,|After| seventeen days the delivery van showed up at my home minus two pieces .
ewtb.r.034501.4:3,@ablodgett,after,,RelativeTime,,I popped in |after| my afternoon pumpkin spice latte break at Starbucks .
ewtb.r.035899.5:27,@ablodgett,after,,Explanation,,"We have since moved slightly further away from the centre but it 's worth the extra travel , as the care provided exceeds our expectations ... especially |after| a few horrendous daycare experiences elsewhere ."
ewtb.r.055207.7:16,@ablodgett,after,,RelativeTime,,Not to mention the fact that they gave us our cats back not even 30 minutes |after| they were out from surgery .
ewtb.r.077298.2:26,@ablodgett,after,,RelativeTime,,I 'm not interested in shopping in a place with people like her ... she refused to sell me the item at its marked price even |after| admitting they had made a mistake .
ewtb.r.080178.2:6,@ablodgett,after,,Explanation,,Allen Tire was recommended by friend |after| my having bad tire experiences in Temecula .
ewtb.r.085980.1:0,@ablodgett,After,,RelativeTime,,"|After| recently relocating to South Bend , we were looking for a delicious , fun , yet elegant establishment for New Year s Eve dinner ."
ewtb.r.085980.5:0,@ablodgett,After,,RelativeTime,,"|After| our meal , our server found us a table in the jazz club where we were informed it would be another $ 10 / person to stay and listen to the band , despite the fact we had just finished a dinner there and were intending to enjoy their drink list ."
ewtb.r.091704.6:4,@ablodgett,after,,RelativeTime,,All of this started |after| their oil change .
ewtb.r.114849.1:20,@ablodgett,after,,RelativeTime,,"Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon |after| order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested ."
ewtb.r.119026.1:43,@ablodgett,after,,?RelativeTime,,"Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again |after| class is probably a question of practice ."
ewtb.r.133981.8:16,@ablodgett,after,,RelativeTime,,Our unit reeks of old cigarette smoke and it started to become apparent a few weeks |after| we moved in .
ewtb.r.140302.2:9,@ablodgett,after,,RelativeTime,,"I took my Mustang here and it looked amazing |after| they were done , they did a great job , I 'm very satisfied with the results ."
ewtb.r.150192.4:5,@ablodgett,after,,?RelativeTime,,In fact my friend vomited |after| our meal .
ewtb.r.181748.8:0,@ablodgett,After,,RelativeTime,,"|After| that , I just tried to ignore his lack of professionalism and test drive the car ."
ewtb.r.211797.14:15,@ablodgett,after,,RelativeTime,,"Somehow , since she supposedly does n't know any names of designers / dresses , |after| I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring to and disagreed with my observation ; she said that the bodice did come as low as the one I had on ."
ewtb.r.216456.6:7,@ablodgett,after,,RelativeTime,,I called them back a few hours |after| putting my Bodhi down and they still would n't budge .
ewtb.r.229480.5:1,@ablodgett,after,,RelativeTime,,"Even |after| my fusions , my back continued to hurt , but now it does n't hurt any more ."
ewtb.r.230176.5:4,@ablodgett,after,,RelativeTime,,And now 2 months |after| my last appointment I am better than ever .
ewtb.r.247097.5:12,@ablodgett,after,,RelativeTime,,I actually loss 4 pounds after my 1st treatment and 2 pounds |after| my 2nd treatment .
ewtb.r.247097.5:5,@ablodgett,after,,RelativeTime,,I actually loss 4 pounds |after| my 1st treatment and 2 pounds after my 2nd treatment .
ewtb.r.247097.7:15,@ablodgett,after,,RelativeTime,,I am now more at peace and my food craving is about 99 % gone |after| only 3 treatments .
ewtb.r.254908.3:0,@ablodgett,After,,RelativeTime,,"|After| they showed up there was a little trouble to get my car unlocked , it took quite a bit of time but the job was well done ."
ewtb.r.280844.7:8,@ablodgett,after,,RelativeTime,,The sessions were nice and I felt relaxed |after| them but did not notice any changes with my cycles .
ewtb.r.285133.1:8,@ablodgett,after,,RelativeTime,,Hair By Nivine in eastgardens fixed my hair |after| i had my hair cut and colored at another salon i felt more confident and the girls are fantastic and i ve been going there now for 2 years always happy and they care about my hair had my hair done for my wedding it looked fabolous !
ewtb.r.288100.5:20,@ablodgett,after,,RelativeTime,,"Also , I was promised to have my test results emailed to me , but it never happened , and |after| a few attempts to get Dr. Romanick on the phone to brief me on my condition , I finally gave up and went to a different doctor ."
ewtb.r.292997.5:27,@ablodgett,after,,RelativeTime,,"Also , if you are into wine , Alto has the depth of both region , varietal , and vintage to satisfy nearly any sommelier ( or |after| 9 pm , bring your own bottle for free ... no corking fee ! ) ."
ewtb.r.319816.14:12,@ablodgett,after,,RelativeTime,,"He said it was the same tire , and verified this , |after| checking both the actual tire on my car and my service papers from earlier in the week ."
ewtb.r.319816.2:0,@ablodgett,After,,RelativeTime,,"|After| happily visiting Sear's Automotives in the past , I was shocked at the horrible service received at their Greensboro location ."
ewtb.r.319816.21:3,@ablodgett,after,,RelativeTime,,"A few minutes |after| I left , I was called and informed that "" I "" left my wheel lock ( which they should have left in the car ) ."
ewtb.r.333243.10:3,@ablodgett,after,,RelativeTime,,"Last year , |after| all was said and done , I asked Rod whether my payment structure would leave me with no / little tax liability at the end of the year ."
ewtb.r.335225.2:0,@ablodgett,After,,RelativeTime,,"|After| my trees were cleaned up , they gave me a jar of salsa ."
ewtb.r.351561.25:2,@ablodgett,after,,RelativeTime,,"Anyway , |after| much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."
ewtb.r.360937.5:0,@ablodgett,After,,RelativeTime,,"|After| my sampler & sandwich , I asked for a pint of there Nitrogen Love Stout , I must say I was impressed , with the great taste & I am a Guiness Lover so coming from me , I think this is better , it s less dry & smoother !"
ewtb.r.363685.12:2,@ablodgett,after,,RelativeTime,,"We returned |after| 3 PM , found no one there , and a note from the innkeeper with directions to our room ."
ewtb.r.363873.4:20,@ablodgett,after,,RelativeTime,,"We were always having our water shut off , there were always people having parties at the pool , even |after| it was supposed to be closed ."
ewtb.r.364454.4:31,@ablodgett,after,,RelativeTime,,"Not only were my wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , before and |after| United Air Duct performed their work ."
ewtb.r.365154.4:0,@ablodgett,After,,Explanation,,"|After| the way she spoke to me on my last visit , I will not be returning !!"
ewtb.r.398243.8:4,@ablodgett,after,,RelativeTime,,"Also , a week |after| the work , Phet called me up to see how my car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.010378.5:9,@ablodgett,afterward,,RelativeTime,,I learned more about this doing my own research |afterward| .
ewtb.r.391012.7:29,@ablodgett,against,,Beneficiary,,I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events |against| them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.117115.2:16,@ablodgett,ago,,DeicticTime,,I had Hom - Excel replace most of the windows in my Tampa residence three years |ago| .
ewtb.r.117115.4:2,@ablodgett,ago,,DeicticTime,,"Three weeks |ago| , burglars tried to gain entry into the rear of my home ."
ewtb.r.128168.4:5,@ablodgett,ago,,DeicticTime,,I was in two weeks |ago| and had the worst pedicure that I have had in my life .
ewtb.r.130216.1:15,@ablodgett,ago,,DeicticTime,,Fast Service Called them one hour ago and they just left my house five minutes |ago| .
ewtb.r.130216.1:6,@ablodgett,ago,,DeicticTime,,Fast Service Called them one hour |ago| and they just left my house five minutes ago .
ewtb.r.131458.2:27,@ablodgett,ago,,DeicticTime,,I have been a friend and customer of Signs of Saltford for well over 12 years now and I also became their website supplier some 3 years |ago| .
ewtb.r.160073.2:10,@ablodgett,ago,,DeicticTime,,My family and I moved to San Antonio a year |ago| and have tried almost all of the Chinese Restaurants because we love Chinese food .
ewtb.r.291046.5:11,@ablodgett,ago,,DeicticTime,,I have many fond memories of my college evenings there long |ago| .
ewtb.r.018548.5:6,@ablodgett,ahead of time,,RelativeTime,,"also , you can call em |ahead| |of| |time| , and then go to pick up ur food , or have it delivered ** ."
ewtb.r.018465.8:18,@ablodgett,all over,,2DArea,,"What was I supposed to do , say I ca n't afford you and walk out with crap |all| |over| my hair ."
ewtb.r.319816.8:15,@ablodgett,all over,,Location,,"Once I actually got back in my car , it was dirty and had grease |all| |over| the steering wheel ."
ewtb.r.004540.3:15,@ablodgett,along with,,Accompanier,,"Additionally , when there was confusion ( my fault ) , they left me flowers |along| |with| a personalized gift ."
ewtb.r.148971.14:2,@ablodgett,along with,,Accompanier,,"I , |along| |with| my friends , consider this doctor to be the cause of my death as he is not even trying to save my life by operating ."
ewtb.r.018562.3:7,@ablodgett,apart,,RelativeTime,,Both my grandparents passed away 4 months |apart| and Mike was very understanding .
ewtb.r.063963.2:16,@ablodgett,apart from,,Elements,,"I took my 3 year old son here at the weekend and to be honest , |apart| |from| the shark walkway , I thought it was rubbish and overpriced ."
ewtb.r.018465.10:3,@ablodgett,around,,Location,,"The other stylists |around| me kept pressuring me saying he 's so wonderful , you 're going to love your hair ."
ewtb.r.170650.6:11,@ablodgett,around,,1DTrajectory,,"At the front door of his office , I nearly turned |around| ."
ewtb.r.217542.3:3,@ablodgett,AROUND,,2DArea,,ANYWAY WE DRIVE |AROUND| IN MY VAN AND SOLVE MYSTERYS AND SHIT
ewtb.r.220214.4:10,@ablodgett,around,,?2DArea,,I feel that the way some doctor s offices work |around| here is a little bit absurd so I 'm happy that these guys do n't do those two things in particlular .
ewtb.r.260640.3:24,@ablodgett,around,,?2DArea,,She basically said if the children getting off the bus are n't paying to enter her building she was going to let them wander |around| the streets .
ewtb.r.263630.3:22,@ablodgett,around,,Approximator,,My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who 'd arrived |around| 1:00 am and were drinking at the springs .
ewtb.r.331662.10:9,@ablodgett,around,,Approximator,,"Prices are reasonable , ( Kid s meals are |around| 4.99 ) and Wednesday's they have discount dinner prices , I believe ."
ewtb.r.363685.10:6,@ablodgett,around,,1DTrajectory,,"Finally a chambermaid stuck her head |around| the corner from the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions ."
ewtb.r.398243.10:40,@ablodgett,around,,Location,,"I grew up in a small town where you knew and trusted your mechanic and was really cynical about city auto repair shops since I moved here , but Phet has shown that there really are honest hard working mechanics |around| ."
ewtb.r.165018.4:7,@ablodgett,around back,,Location,,"I was then moved to another room |around| the |back| where the room was dirty , the shower was dirty with other people s hair in it , the toilet seat was peeling and rough and the bathroom was full of mould ."
ewtb.r.079375.3:2,@ablodgett,around the clock,,Time,,They worked |around| |the| |clock| to ensure that my puppy life was saved .
ewtb.r.004940.2:9,@ablodgett,as,,Explanation,,We were looking for a company with decent rates |as| our company was just getting started .
ewtb.r.005760.3:6,@ablodgett,as,,Attribute,,Their Thali was not brought out |as| described ( no saag ) .
ewtb.r.010378.3:18,@ablodgett,as,,Explanation,,"During the session , he demanded to have my physical address , which I 've always kept private |as| I am enrolled in a witness protection program ."
ewtb.r.014483.2:15,@ablodgett,as,,?Attribute,,After firing this company my next pool service found the filters had not been cleaned |as| they should have been .
ewtb.r.018562.5:7,@ablodgett,as,,?Attribute,,He is very professional in his position |as| a director and yet he still made time to be compassionate for what we were all going through .
ewtb.r.034501.3:16,@ablodgett,as,,Explanation,,It is right on the hustle and bustle of Wisconsin Ave but some might miss it |as| it is nestled in between Subway Sandwiches and Modell 's .
ewtb.r.035899.5:18,@ablodgett,as,,Explanation,,"We have since moved slightly further away from the centre but it 's worth the extra travel , |as| the care provided exceeds our expectations ... especially after a few horrendous daycare experiences elsewhere ."
ewtb.r.048363.9:3,@ablodgett,as,,Time,,My heart pounded |as| I walked down and pounded even faster upon seeing Gerry in an SUV - Lexus !
ewtb.r.053248.19:15,@ablodgett,as,,Comparison/Contrast,,"Perhaps had we not gone into this restaurant believing Zahav was going to be golden |as| its name suggests ( and as the many golden reviews seem to attest ) , we would have enjoyed a decent little expensive experience ."
ewtb.r.053248.19:21,@ablodgett,as,,Comparison/Contrast,,"Perhaps had we not gone into this restaurant believing Zahav was going to be golden as its name suggests ( and |as| the many golden reviews seem to attest ) , we would have enjoyed a decent little expensive experience ."
ewtb.r.068009.3:0,@ablodgett,As,,Attribute,,"|As| a qualified criminal defense attorney , he will work every possible legal "" angle "" ( leaving no stone unturned ) of your case to achieve the most favorable result possible ."
ewtb.r.071650.7:19,@ablodgett,as,,Explanation,,Back to my poor rating - I was excepted to medical school and went in to cancel my membership |as| I was told I could do since I was moving away .
ewtb.r.081934.4:0,@ablodgett,As,,Explanation,,"|As| I have gone through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting ."
ewtb.r.093655.7:20,@ablodgett,as,,Explanation,,"I was a waitress for years and a key rule is to serve customers with small children before others , |as| I was the last to get my food ."
ewtb.r.095040.2:0,@ablodgett,As,,?Attribute,,"|As| first - time home buyers , my husband and I found Stephanie Fairchild at Prudential Steamboat Realty , extremely helpful ."
ewtb.r.114849.1:42,@ablodgett,as,,Circumstance,,"Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was |as| requested ."
ewtb.r.122270.3:26,@ablodgett,as,,Time,,"Everyone was friendly from the receptionist to the surgeon herself , putting me at my ease and explaining the whole process , both initially and then |as| we went along ."
ewtb.r.133601.3:5,@ablodgett,as,,Attribute,,"I wish I had you |as| my dentist early on in my life - maybe my teeth would have been a lot better then they are now , However I am glad you are my dentist now ."
ewtb.r.148971.14:17,@ablodgett,as,,Explanation,,"I , along with my friends , consider this doctor to be the cause of my death |as| he is not even trying to save my life by operating ."
ewtb.r.148971.5:26,@ablodgett,as,,Circumstance,,"Then he renigged when he read my Health Care Proxy , even though i agreed to be on the ventilator for 2 months following surgery ( |as| he had twice stated i must agree to ) ."
ewtb.r.156460.4:7,@ablodgett,as,,Explanation,,"I regularly request Kim 's business cards |as| I am often stopped on the street and asked "" Who does your hair ... I LOVE it !!! """
ewtb.r.162567.2:5,@ablodgett,as,,Attribute,,I have worked with Shannon |as| my massage therapist and intuitive bodyworker for years and have never been disappointed .
ewtb.r.186284.2:11,@ablodgett,as,,Explanation,,I used Fancy Flowers for my late husband 's funeral flowers |as| they had been recommended to me .
