sent ID,token,v1,v2 Scene Role,v2 Prep Function,gov,note,
ewtb.r.093655.3:40,a little,`,,,,,"In the past , I got a steak and there was more fat and rough pieces than there was good steak ( and this was the sirloin ! ) , the sides were drenched with butter and the salad was |a| |little| on the brown side ."
ewtb.r.155050.2:3,a little,`,,,,,service could be |a| |little| better but it s an all round good place
ewtb.r.196219.4:3,A LITTLE,`,,,,,IF YOU WANT |A| |LITTLE| CAJUNISH FOOD - IT IS GOOD .
ewtb.r.220214.4:13,a little bit,`,,,,,I feel that the way some doctor s offices work around here is |a| |little| |bit| absurd so I 'm happy that these guys do n't do those two things in particlular .
ewtb.r.005636.2:7,a lot,`,,,,,FITNESS UNLIMITED is a second home to |a| |lot| of us gym members who work out daily .
ewtb.r.010433.7:7,a lot,`,,,,,"Food was good , but service means |a| |lot| to me ."
ewtb.r.010450.2:7,a lot,`,,,,,"However , I still like this place |a| |lot| ."
ewtb.r.015148.2:15,a lot,`,,,,,Especially high end keep sake sort of clothing that you just ca nt find in |a| |lot| of stores .
ewtb.r.043020.18:4,a lot,`,,,,,They came in under |a| |lot| of other quotes and now I know why !!!
ewtb.r.053248.14:5,a lot,`,,,,,I guess that tells you |a| |lot| .
ewtb.r.055976.1:3,a lot,`,,,,,The staff leaves |a| |lot| to be desired .
ewtb.r.083454.1:36,a lot,`,,,,,"I did n't end up buying my car here , but I did think the guy who worked with me was pretty cool - he was willing to budge a little on the price which means |a| |lot| to me ."
ewtb.r.083563.2:9,a lot,`,,,,,"A fast service , saved a bad situation getting |a| |lot| worse ."
ewtb.r.090136.4:17,a lot,`,,,,,Hands - down the best pasta and gnocchi I 've ever eaten ( and I 've eaten |a| |lot| ) .
ewtb.r.133601.3:20,a lot,`,,,,,"I wish I had you as my dentist early on in my life - maybe my teeth would have been |a| |lot| better then they are now , However I am glad you are my dentist now ."
ewtb.r.149741.2:25,a lot,`,,,,,If you watch a lot of fights ( youtube ) and research some of the history ( http://en.wikipedia.org/wiki/Bullfighting ) you will find yourself enjoying it |a| |lot| more !
ewtb.r.149741.2:3,a lot,`,,,,,If you watch |a| |lot| of fights ( youtube ) and research some of the history ( http://en.wikipedia.org/wiki/Bullfighting ) you will find yourself enjoying it a lot more !
ewtb.r.149741.3:14,a lot,`,,,,,"Also after seeing a handful of bullfights , I can say that they 're |a| |lot| more enjoyable if you 're smashed ( BAC >= .15 ) ."
ewtb.r.159485.1:46,a lot,`,,,,,In this hard economic times is very important to save money Very reasonable prices top quality work The owner operator he does all the the work with Helpers very friendly I definitely recommend this this guys Do n't get jack by big companies that they pay |a| |lot| of money to be on top of the list Thanks
ewtb.r.160073.5:34,a lot,`,,,,,Everything we have gotten there has been more authentic and better tasting than any other Chinese restaurant in the San Antonio area we have been to -- and trust me we have been to |a| |lot| of them .
ewtb.r.173944.4:11,a lot,`,,,,,I have a new born daughter and she helped me with |a| |lot| .
ewtb.r.194830.2:18,a lot,`,,,,,The First time I walked in there with my teacup chihuahua puppy I knew I 'd be here |a| |lot| .
ewtb.r.201972.5:2,a lot,`,,,,,They spent |a| |lot| of time with me and got me into a great pair of shoes .
ewtb.r.215460.2:10,a lot,`,,,,,"Hopless service , at the time of booking my car |a| |lot| was promised but delivered not even one tenth of what was promised ."
ewtb.r.228944.3:18,a lot,`,,,,,I have a Saab ... which everything is expensive on and they have been extrememly fair and price |a| |lot| lower than any other shop I called .
ewtb.r.236648.2:23,a lot,`,,,,,Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying |a| |lot| because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.280844.5:8,a lot,`,,,,,The down side was that sometimes there was |a| |lot| of noise in the hallway from other patients / doctors .
ewtb.r.290594.9:4,a lot,`,,,,,"You say you work |a| |lot| , and that you have a young dog ; so I have little doubt that your dog is just filled with energy to burn ; and it is good of you to look for a place to take him ."
ewtb.r.295935.1:4,a lot,`,,,,,Very Informative website with |a| |lot| of good work
ewtb.r.311987.3:8,a lot,`,,,,,It 's a nice bike and it cost |a| |lot| of money .
ewtb.r.317594.7:4,a lot,`,,,,,Looks like there 's |a| |lot| of talent in this place .
ewtb.r.336049.7:11,A LOT,`,,,,,Would n't go back as there are a lot of places |A| |LOT| better and cheaper .
ewtb.r.336049.7:7,a lot,`,,,,,Would n't go back as there are |a| |lot| of places A LOT better and cheaper .
ewtb.r.342807.5:14,a lot,`,,,,,"All you have to do to make it authentic Jamaican food , is add |a| whole |lot| of pepper ."
ewtb.r.342807.6:0,A lot,`,,,,,|A| |lot| .
ewtb.r.374604.2:16,a lot,`,,,,,If the animals are treated in the same way the customers are treated then this leaves |a| |lot| to be desired !
ewtb.r.317480.2:1,a must,`,,,,,Definitely |a| |must| .
ewtb.r.048363.2:16,a nervous wreck,`,,,,,I was involved in a car accident 20 years ago and since then I 've been |a| |nervous| |wreck| and have n't been behind the wheel .
ewtb.r.090643.4:5,a number,`,,,,,I 've also sent over |a| |number| of friends to use the services here and everyone is extraordinarily pleased !
ewtb.r.162702.2:19,a pleasure,`,,,,,I was soooo lucky to have used Marlon 's photography services .... such a creative and talented photographer and |a| |pleasure| to work with .
ewtb.r.018562.6:18,a short time,`,,,,,I 'm sure it s not every day that a funeral director sees the same family in such |a| |short| |time| .
ewtb.r.112579.11:0,A slice of heaven,`,,,,,|A| |slice| |of| |heaven| in winter park off forsyth !
ewtb.r.217485.3:2,a touch,`,,,,,"Service was |a| |touch| slow , but friendly ."
ewtb.r.018562.4:2,a trying time,`,,,,,It was |a| very |trying| |time| for my family and myself yet Mike took the time to greet each and every one one of us .
ewtb.r.160073.3:4,a while,`,,,,,Well it took us |a| |while| to find one that we liked .
ewtb.r.342811.12:30,a while,`,,,,,"When we called the front desk about an extremely boisterous crowd in the hall outside our door quite late at night , it seemed to take the hotel staff quite |a| |while| to quiet them down ."
ewtb.r.263630.8:1,add insult to injury,`,,,,,"To |add| |insult| |to| |injury| , he refused to refund our money ."
ewtb.r.309258.2:7,all the time,`,,,,,"I used to take my cars there |all| |the| |time| , but management changes hands too frequently , the service has been slow , and they often try to "" add on "" extra services , which sometimes is not needed ."
ewtb.r.224117.1:1,all the way,`,,,,,Drove |all| |the| |way| over from the highway ... closed at 7 .
ewtb.r.333243.6:21,amended,`,,,,,"Asked why , Rod simply told me that he had to research how to do the amendment ( it was an |amended| to show that I had purchased a home - nothing out of the ordinary , one would think ) and that took time to figure out ."
ewtb.r.071518.8:17,an,`,determiner,,,,And it was great that they did not charge a service fee to diagnose the problem - |an| added bonus !!
ewtb.r.131458.1:4,an,`,determiner,,,,Signs of Saltford - |an| excellent supplier of value for money signs and banners etc .
ewtb.r.333672.6:7,as,`,??,Identity,,,They tried to run my credit score |as| less as possible so it wo n't hurt my score .
ewtb.r.054269.2:8,as,`,Approximator,Identity,,,"Compact 's Corona dryers remove at least twice |as| much water as the previous dryers , allowing a production increase of over 10 % and a significant energy saving ."
ewtb.r.126171.6:4,as,`,Approximator,Identity,,,They want to squeeze |as| much as they can from you even if you just got in a car accident !!!!
ewtb.r.232157.3:29,as,`,Approximator,Identity,,,"It was a great deal -- we paid a certain amount per person , and my husband and I chose 4 types of pizza and the servers brought out |as| much as we wanted ."
ewtb.r.018562.8:4,as,`,Characteristic,Identity,,,Both my grandparents looked |as| natural as could be expected .
ewtb.r.091704.8:12,as,`,Characteristic,Identity,,,"I would not recommend this shop for anything , not even something |as| simple as an oil change ."
ewtb.r.101398.6:15,as,`,Characteristic,Identity,,,If you must go ask lots of questions about your selections since your expectations may |as| high as mine were .
ewtb.r.122882.4:10,as,`,Characteristic,Identity,,,"The server we had was knowledgeable but he was not |as| proper as he should have been , acting like he was talking to his friends rather than his customers ."
ewtb.r.165143.4:5,as,`,Characteristic,Identity,,,The service was just about |as| good as I 'd get in NYC ( that means it was poor ) and the food was almost mediocre .
ewtb.r.188548.12:7,as,`,Characteristic,Identity,,,There are other places with food just |as| good with management that values customers and employees much more .
ewtb.r.211797.14:55,as,`,Characteristic,Identity,,,"Somehow , since she supposedly does n't know any names of designers / dresses , after I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring to and disagreed with my observation ; she said that the bodice did come |as| low as the one I had on ."
ewtb.r.229480.4:7,as,`,Characteristic,Identity,,,"With these fusions , chiropractric is n't |as| successful , but it still is very helpful ."
ewtb.r.245160.6:18,as,`,Characteristic,Identity,,,after finding the car i wanted they took the time to go over each step and making it |as| painless as possible .
ewtb.r.008585.8:28,as,`,ComparisonRef,,,,"It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same |as| my tire guy in Nashville 's price for putting on the other rear tire ."
ewtb.r.010820.9:12,as,`,ComparisonRef,,,,So I still can recomend them but prepare pay twice as much |as| they tell you initially .
ewtb.r.018562.8:6,as,`,ComparisonRef,,,,Both my grandparents looked as natural |as| could be expected .
ewtb.r.054269.2:11,as,`,ComparisonRef,,,,"Compact 's Corona dryers remove at least twice as much water |as| the previous dryers , allowing a production increase of over 10 % and a significant energy saving ."
ewtb.r.079375.4:22,as,`,ComparisonRef,,,,We have to leave him at the vet for 3 days and I was told to call for check ups as often |as| I wished that no matter how many times I called I would not annoy them .
ewtb.r.091704.8:14,as,`,ComparisonRef,,,,"I would not recommend this shop for anything , not even something as simple |as| an oil change ."
ewtb.r.101398.6:17,as,`,ComparisonRef,,,,If you must go ask lots of questions about your selections since your expectations may as high |as| mine were .
ewtb.r.107608.3:18,as,`,ComparisonRef,,,,"The team who work there are helpfull , friendly and extremely knowledgeable and will help you as much |as| they can with thier years of hands on practice ."
ewtb.r.122882.4:12,as,`,ComparisonRef,,,,"The server we had was knowledgeable but he was not as proper |as| he should have been , acting like he was talking to his friends rather than his customers ."
ewtb.r.126171.6:6,as,`,ComparisonRef,,,,They want to squeeze as much |as| they can from you even if you just got in a car accident !!!!
ewtb.r.165143.4:7,as,`,ComparisonRef,,,,The service was just about as good |as| I 'd get in NYC ( that means it was poor ) and the food was almost mediocre .
ewtb.r.211797.14:57,as,`,ComparisonRef,,,,"Somehow , since she supposedly does n't know any names of designers / dresses , after I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring to and disagreed with my observation ; she said that the bodice did come as low |as| the one I had on ."
ewtb.r.232157.3:31,as,`,ComparisonRef,,,,"It was a great deal -- we paid a certain amount per person , and my husband and I chose 4 types of pizza and the servers brought out as much |as| we wanted ."
ewtb.r.245160.6:20,as,`,ComparisonRef,,,,after finding the car i wanted they took the time to go over each step and making it as painless |as| possible .
ewtb.r.333672.6:9,as,`,ComparisonRef,,,,They tried to run my credit score as less |as| possible so it wo n't hurt my score .
ewtb.r.349020.12:4,AS,`,ComparisonRef,,,,STAY AWAY AS FAR |AS| POSSIBLE .
ewtb.r.379701.2:6,as,`,ComparisonRef,,,,Do the job honest and quickly |as| possible .
ewtb.r.081796.6:22,as,`,ComparisonRef?,,,,"In addition , the clothing is of much better quality than the clothing from hot topic , which is made as cheaply |as| possible by people living in horrible conditions in Asia ."
ewtb.r.010820.9:10,as,`,Cost,Identity,,,So I still can recomend them but prepare pay twice |as| much as they tell you initially .
ewtb.r.026641.4:10,as,`,Duration,Identity,,,"Beats having one "" cleaning lady "" who took twice |as| long and did not do a very through job like the "" maids "" did !"
ewtb.r.107608.3:16,as,`,Extent,Identity,,,"The team who work there are helpfull , friendly and extremely knowledgeable and will help you |as| much as they can with thier years of hands on practice ."
ewtb.r.349020.12:2,AS,`,Extent,Identity,,,STAY AWAY |AS| FAR AS POSSIBLE .
ewtb.r.079375.4:20,as,`,Frequency,Identity,,,We have to leave him at the vet for 3 days and I was told to call for check ups |as| often as I wished that no matter how many times I called I would not annoy them .
ewtb.r.081796.6:20,as,`,Manner,Identity,,,"In addition , the clothing is of much better quality than the clothing from hot topic , which is made |as| cheaply as possible by people living in horrible conditions in Asia ."
ewtb.r.278775.10:23,as,`,Manner?,Identity,,,"Finally , it must be said that Stuart is a fantastic person to work with , because of his solid strategies and equally |as| importantly because he is a genuinely good person and a great communicator ."
ewtb.r.354860.4:3,as well,`,,,,,Great with SEO |as| |well| .
ewtb.r.391012.7:19,as well,`,,,,,I 've spoken to vendors who are used by them who had nothing good to say about the company |as| |well| and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.047184.5:25,as well as,`,`c,,,,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin |as| |well| |as| the fun filled social dance evening held every Saturday evening ....
ewtb.r.235423.12:19,as well as,`,`c,,,,"I do nt know how it is possible to make orange chicken , sesame chicken and kung pao chicken |as| |well| |as| cheese puffs taste THAT bad but China Delight accomplished that ."
ewtb.r.310018.2:14,as well as,`,`c,,,,She has a great way with children and is able to capture their personality |as| |well| |as| many spontaneous images .
ewtb.r.335815.2:16,as well as,`,`c,,,,"There are a couple decent people working there , but the rest are VERY dishonest , |as| |well| |as| rude , I have yet to hear the truth come out of their mouths ."
ewtb.r.376320.8:19,as well as,`,`c,,,,I completely enjoyed my whole check in experience and was impressed with the friendliness and professionalism of the staff |as| |well| |as| the accommodations themselves .
ewtb.r.040616.2:13,as well as,`,as_well + as,,,,Since then we have decided to have them manage our other investment properties |as| |well| |as| we getting older and can no longer perform all the inquires .
ewtb.r.018465.22:1,AWAY,`,Locus,,,,STAY |AWAY| !
ewtb.r.031113.3:9,bad,`,`j,,,,"The pizza is usually pretty good , the only |bad| one we got was on a Friday night and it just needed to be cooked a little more , but it was still good ."
ewtb.r.330966.3:16,bang for buck,`,`n,,,,"I have stayed in this hotel many times , and while it typically offers a decent |bang| |for| the |buck| , its client base largely consists of troubled youngsteers and evictees from the local , not so pleasant hood ."
ewtb.r.165018.3:8,bed,`,`n,,,,First room had used tissues next to the |bed| and I requested it be rectified .
ewtb.r.008635.4:2,bit,`,a_bit,,,,Beer a |bit| expensive .
ewtb.r.241739.5:10,bit,`,a_bit,,,,"Some of the younger kids that work there are a |bit| sub par , but if you wait for Nick ... you 'll be good ."
ewtb.r.313825.4:13,bit,`,a_bit,,,,The manager - Tiffany - is actually very nice so I 'm a |bit| surprised by other comments .
ewtb.r.036133.1:0,Bit,`,,,,,"|Bit| sketchy , sporadic delivery times"
ewtb.r.110441.15:0,Bottom line,`,,,,,|Bottom| |line| is that when it 's a small privatly owned resturant like this is you can tell that the owners and employees take pride in their product and service .
ewtb.r.015573.1:0,Buyer beware,`,,,,,|Buyer| |beware|
ewtb.r.225632.1:7,c,`,short for “class of”?,,,,FHS is a good high school -- |c| / o 1998
ewtb.r.034813.4:10,c'm on,`,`d,,,,"Sure , some items are a little pricey , but |c'm| |on| ... have you ever been out to eat in Seattle before ?"
ewtb.r.396874.6:1,can not say enough,`,,,,,I |can| |not| |say| |enough| about this place .
ewtb.r.126171.7:3,care,`,`v,,,,They do n't |care| one bit about you !!!!!
ewtb.r.235576.7:8,chances are,`,,,,,"If you 've been to North County , |chances| |are| it 's in your favorites list already ."
ewtb.r.120335.7:13,charity,`,`n,,,,"On the other hand , the Richmond Ukrops chain is known for its |charity| work , its community action , and its interest in the public welfare ."
ewtb.r.087368.3:4,check - out,`,`n,,,,"Clean store , friendly |check| |-| |out| staff up front ."
ewtb.r.194316.6:12,Color me Phat,`,`n,,,,I just discovered her has a place right near my work ( |Color| |me| |Phat| ) If you are looking for a romatic place with the best food and service in the valley Giovanni Ristorante should be your number 1 + 2 choice .
ewtb.r.080221.2:0,Congratulations,`,`d,,,,|Congratulations| Prestige Hino !
ewtb.r.229410.9:4,couple,`,,,,,Just curtains and a |couple| of accessories .
ewtb.r.017235.4:11,custom,`,`j,,,,"Lots of collections , many antique light fixtures , Chandeliers , |custom| lighting etc ."
ewtb.r.017235.7:6,custom,`,`j,,,,I would recommend them for any |custom| lighting or Lighting Repair and Restoration Chicago
ewtb.r.091704.5:10,damage,`,`n,,,,There could have ( hopefully does n't have ) major |damage| to the engine .
ewtb.r.278775.1:6,designer,`,`n,,,,"Our company is a high end |designer| handbag and fashion accessories company , thus we are certainly a niche market ."
ewtb.r.351727.4:0,Do n't even get me started,`,,,,,|Do| |n't| |even| |get| |me| |started| on how expensive it is to drink there .
ewtb.r.018548.12:1,Edit,`,`d,,,,"** |Edit| : Living on campus at Clarkson University , I have had food delivered before ."
ewtb.r.332785.2:0,Enough said,`,`d,,,,|Enough| |said| .
ewtb.r.039173.1:10,every one,`,`o,,,,"The waiting staff is really friendly , it s like |every| |one| knows each other , the manager is really sweet and the food .. well no complaints from me ."
ewtb.r.121651.5:6,every thing,`,`o,,,,And when the job was done |every| |thing| was cleaned up and hauled off that same day .
ewtb.r.191597.3:0,Every thing,`,`o,,,,|Every| |thing| here is good .
