ewtb.r.332476.4,1437514324,1437514454,@nschneid,,"{""initval"": ""She was way easy to work~with and made my wedding_day so easy and she got some amazing pictures , not only of me , but of my family and friends ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1437514281]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""nonintegralPrep"",   ""sgroups"": [[10,11],[16,19]],   ""wgroups"": [[5,6]],   ""chklbls"": {""1"":""was|stative"",""4"":""to|`i"",""5"":""work|social"",""6"":""with|ProfessionalAspect"",""8"":""made|cognition"",""10"":""wedding|EVENT"",""16"":""got|communication"",""23"":""of|Topic"",""27"":""of|Topic"",""29"":""family|GROUP"",""31"":""friends|PERSON""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=nonintegralPrep&inst=1b&u=nschneid&nsst&vsst=&from=130&initialStage=1&reconcile[0]=^&new=^&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","She was way easy to work~with and made my wedding_day so easy and she got_ some amazing _pictures , not only of me , but of my family and friends .",add missing noun SSTs (?!),@nschneid: add missing noun SSTs (?!),"She was way easy to work with and made my wedding day so easy and she got some amazing pictures , not only of me , but of my family and friends ."
ewtb.r.337971.4,1437514618,1437514624,@nschneid,,"{""initval"": ""I enjoy working~with this architectural and graphic_design firm and will recommend to anyone ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1437514609]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""nonintegralPrep"",   ""sgroups"": [[7,8]],   ""wgroups"": [[2,3]],   ""chklbls"": {""1"":""enjoy|emotion"",""2"":""working|social"",""3"":""with|ProfessionalAspect"",""7"":""graphic|COGNITION"",""9"":""firm|GROUP"",""12"":""recommend|communication"",""13"":""to|Recipient"",""14"":""anyone|`o""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=nonintegralPrep&inst=1b&u=nschneid&psst=&from=134&initialStage=1&reconcile[0]=^&new=^&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",I enjoy working~with this architectural and graphic_design firm and will recommend to anyone .,adding missing noun supersenses (?!),@nschneid: adding missing noun supersenses (?!),I enjoy working with this architectural and graphic design firm and will recommend to anyone .
ewtb.r.071650.7,1431364447,1431364523,@mgreen,,"{""initval"": ""Back_to my poor rating - I was excepted to medical_school and went in to cancel my membership as I was told I could do since I was moving away ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""mhutto"",""twater""], ""times"": [1429816579,1430079971]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task06"",   ""sgroups"": [[0,1],[10,11]],   ""wgroups"": [],   ""chklbls"": {""0"":""Back|`d"",""4"":""rating|COMMUNICATION"",""7"":""was|`a"",""8"":""excepted|cognition"",""9"":""to|Destination"",""10"":""medical|COGNITION"",""13"":""went|motion"",""14"":""in|Location"",""15"":""to|Purpose"",""16"":""cancel|change"",""18"":""membership|POSSESSION"",""19"":""as|Explanation"",""21"":""was|`a"",""22"":""told|communication"",""25"":""do|stative"",""26"":""since|Explanation"",""28"":""was|`a"",""29"":""moving|motion"",""30"":""away|Direction""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task06&inst=1b&u=mgreen&psst=&from=97&initialStage=1&reconcile%5B0%5D=mhutto&reconcile%5B1%5D=twater&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""mgreen""}",Back_to my poor rating - I was excepted to medical_school and went in to cancel my membership as I was told I could do since I was moving away .,Agent? or Destination?,@mgreen: Agent? or Destination?,Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away .
ewtb.r.107692.10,1440091185,1440091210,@nschneid,,"{""initval"": ""Save~yourself~the~trouble and skip this place all_together ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1433794071]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-training"",   ""sgroups"": [[8,9]],   ""wgroups"": [[0,1,2,3]],   ""chklbls"": {""0"":""Save|stative"",""3"":""trouble|COGNITION"",""5"":""skip|change"",""7"":""place|GROUP"",""8"":""all|`r""},   ""url"": ""demo.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-training&inst=1b&u=nschneid&psst=&from=174&initialStage=1&reconcile%5B0%5D=%5ECMU-&new=%5Epsst&v=+nschneid"",   ""session"": "",  ""authuser"": ""nschneid""}",Save~yourself~the~trouble and skip this place all_together .,"all_together = altogether, so `r","@nschneid: all_together = altogether, so `r",Save yourself the trouble and skip this place all together .
ewtb.r.332105.2,1435854578,1435854812,@mgreen+nschneid,,"{""initval"": ""I finally called Matt from Bonafide and he made the project both easy for us and reasonable ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""mgreen"",""nschneid""], ""times"": [1432675353,1433884829]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-training"",   ""sgroups"": [],   ""wgroups"": [],   ""chklbls"": {""2"":""called|communication"",""3"":""Matt|PERSON"",""4"":""from|ProfessionalAspect"",""5"":""Bonafide|GROUP"",""8"":""made|stative"",""10"":""project|EVENT"",""13"":""for|Experiencer""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-training&inst=1b&u=mgreen%2Bnschneid&psst=&from=353&initialStage=1&reconcile%5B0%5D=mgreen&reconcile%5B1%5D=nschneid&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",I finally called Matt from Bonafide and he made the project both easy for us and reasonable .,ambiguous: [made...for us] ='for our sake' (Beneficiary) or [made [easy for us]] (Experiencer)? gold bracketing is the latter,@mgreen+nschneid: ambiguous: [made...for us] ='for our sake' (Beneficiary) or [made [easy for us]] (Experiencer)? gold bracketing is the latter,I finally called Matt from Bonafide and he made the project both easy for us and reasonable .
ewtb.r.188548.4,1433695275,1433695367,@nschneid,,"{""initval"": ""When it came_time to pay the bill up_front , they would not let me use any of the certificate for a tip ( which I have done with any other restaurant I \'ve gotten a gift_certificate for . )"",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""mgreen"",""ngordi""], ""times"": [1431099922,1432862900]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-task16"",   ""sgroups"": [[2,3],[8,9],[37,38]],   ""wgroups"": [],   ""chklbls"": {""2"":""came|stative"",""4"":""to|`i"",""5"":""pay|possession"",""7"":""bill|POSSESSION"",""8"":""up|Location"",""14"":""let|stative"",""16"":""use|stative"",""18"":""of|Whole"",""20"":""certificate|POSSESSION"",""21"":""for|Purpose"",""23"":""tip|POSSESSION"",""27"":""have|`a"",""28"":""done|stative"",""29"":""with|Theme"",""32"":""restaurant|GROUP"",""34"":""'ve|`a"",""35"":""gotten|stative"",""37"":""gift|POSSESSION"",""39"":""for|Purpose""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task16&inst=1b&u=nschneid&psst=&from=40&initialStage=1&reconcile%5B0%5D=mgreen&reconcile%5B1%5D=ngordi&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","When it came_time to pay the bill up_front , they would not let me use any of the certificate for a tip ( which I have done with any other restaurant I 've gotten a gift_certificate for . )",any of the certificate interpreted as 'any of the amount on the certificate',@nschneid: any of the certificate interpreted as 'any of the amount on the certificate',"When it came time to pay the bill up front , they would not let me use any of the certificate for a tip ( which I have done with any other restaurant I 've gotten a gift certificate for . )"
ewtb.r.085424.2,1433718931,1433718945,@nschneid,,"{""initval"": ""The program has been a postive experience for my children ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1419637480]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-training"",   ""sgroups"": [],   ""wgroups"": [],   ""chklbls"": {""1"":""program|GROUP"",""2"":""has|`a"",""3"":""been|stative"",""6"":""experience|EVENT"",""7"":""for|Experiencer"",""9"":""children|PERSON""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-training&inst=1b&u=nschneid&psst=&from=138&initialStage=1&reconcile%5B0%5D=%5ECMU-&new=%5Epsst&v=+nschneid"",   ""session"": "",  ""authuser"": ""nschneid""}",The program has been a postive experience for my children .,AP for NP cxn: positive experience for my children,@nschneid: AP for NP cxn: positive experience for my children,The program has been a postive experience for my children .
ewtb.r.215460.3,1433796038,1433796246,@nschneid,,"{""initval"": ""Apart_from that in_spite_of my repeated attempts I could not get_in_touch_with the manager to even lodge_ an official _complaint ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1424436175]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-training"",   ""sgroups"": [[0,1],[3,4,5],[12,13,14,15],[20,23]],   ""wgroups"": [],   ""chklbls"": {""0"":""Apart|`d"",""3"":""in|Circumstance"",""7"":""repeated|`j"",""8"":""attempts|EVENT"",""12"":""get|communication"",""17"":""manager|PERSON"",""18"":""to|Purpose"",""20"":""lodge|communication""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-training&inst=1b&u=nschneid&psst=&from=251&initialStage=1&reconcile%5B0%5D=%5ECMU-&new=%5Epsst&v=+nschneid"",   ""session"": "",  ""authuser"": ""nschneid""}",Apart_from that in_spite_of my repeated attempts I could not get_in_touch_with the manager to even lodge_ an official _complaint .,apart_from here is a discourse connective,@nschneid: apart_from here is a discourse connective,Apart from that in spite of my repeated attempts I could not get in touch with the manager to even lodge an official complaint .
ewtb.r.188548.9,1437597257,1437597293,@nschneid,,"{""initval"": ""The cashier was also short , unapologetic and made me feel as I was wasting_ her _time ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1433795883]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""plainquestionmark"",   ""sgroups"": [[14,16]],   ""wgroups"": [],   ""chklbls"": {""1"":""cashier|PERSON"",""2"":""was|stative"",""8"":""made|stative"",""10"":""feel|cognition"",""11"":""as|Comparison/Contrast"",""13"":""was|`a"",""14"":""wasting|social""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=plainquestionmark&inst=1b&u=nschneid&psst=&from=8&initialStage=1&reconcile%5B0%5D=%5E&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","The cashier was also short , unapologetic and made me feel as I was wasting_ her _time .","as = as if, as though","@nschneid: as = as if, as though","The cashier was also short , unapologetic and made me feel as I was wasting her time ."
ewtb.r.211797.2,1432572577,1432572589,@nschneid,,"{""initval"": ""At my appointment the girl helping me was unable to adequately lace_up some of the dresses ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""mgreen""], ""times"": [1431123211,1431140758]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task18"",   ""sgroups"": [[11,12]],   ""wgroups"": [],   ""chklbls"": {""0"":""At|Circumstance"",""2"":""appointment|EVENT"",""4"":""girl|PERSON"",""5"":""helping|social"",""7"":""was|stative"",""9"":""to|`i"",""11"":""lace|social"",""14"":""of|Superset"",""16"":""dresses|ARTIFACT""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task18&inst=1b&u=nschneid&psst=&from=6&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=mgreen&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",At my appointment the girl helping me was unable to adequately lace_up some of the dresses .,"at my appointment (situating event, like ""at the party"")","@nschneid: at my appointment (situating event, like ""at the party"")",At my appointment the girl helping me was unable to adequately lace up some of the dresses .
ewtb.r.215460.2,1435065127,1435065186,@nschneid,,"{""initval"": ""Hopless service , at the time of booking my car a_lot was promised but delivered not_even one tenth of what was promised ."",  ""beforeVExpand"": "",  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task08,09,12,13,16,17,18-superset_or_species"",   ""sgroups"": [[10,11],[16,17]],   ""wgroups"": [],   ""chklbls"": {""1"":""service|ACT"",""3"":""at|Time"",""5"":""time|EVENT"",""6"":""of|Possessor"",""7"":""booking|possession"",""9"":""car|ARTIFACT"",""10"":""a|`"",""12"":""was|`a"",""13"":""promised|communication"",""15"":""delivered|social"",""19"":""tenth|RELATION"",""20"":""of|Whole"",""22"":""was|`a"",""23"":""promised|communication""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task08%2C09%2C12%2C13%2C16%2C17%2C18-superset_or_species&inst=1b&u=nschneid&psst=&from=35&initialStage=1&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","Hopless service , at the time of booking my car a_lot was promised but delivered not_even one tenth of what was promised .",at the time OF booking my car,@nschneid: at the time OF booking my car,"Hopless service , at the time of booking my car a lot was promised but delivered not even one tenth of what was promised ."
ewtb.r.369087.4,1440691287,1440691309,@nschneid,,"{""initval"": ""They squeezed_ me _in and had me back up_and_running in~no~time ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1434730150]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""latestQuestionMarkNotDoubled"",   ""sgroups"": [[1,3],[8,9,10]],   ""wgroups"": [[11,12,13]],   ""chklbls"": {""1"":""squeezed|social"",""5"":""had|stative"",""7"":""back|`r"",""8"":""up|State"",""11"":""in|DeicticTime"",""13"":""time|TIME""},   ""url"": ""demo.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=latestQuestionMarkNotDoubled&inst=1b&u=nschneid&psst=&from=16&initialStage=1&reconcile%5B0%5D=%5E&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",They squeezed_ me _in and had me back up_and_running in~no~time .,BACK as aspectual direction??,@nschneid: BACK as aspectual direction??,They squeezed me in and had me back up and running in no time .
ewtb.r.221664.2,1431970156,1431970283,@nschneid,,"{""initval"": ""I brought_ a car _in to have the \"" check_engine_ \"" _light diagnosed back~in March of 2010 ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""mgreen""], ""times"": [1431129831,1431145361]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task18"",   ""sgroups"": [[1,4],[9,10,12]],   ""wgroups"": [[14,15]],   ""chklbls"": {""1"":""brought|motion"",""3"":""car|ARTIFACT"",""5"":""to|Purpose"",""6"":""have|stative"",""9"":""check|ARTIFACT"",""13"":""diagnosed|cognition"",""14"":""back|DeicticTime"",""15"":""in|Time"",""16"":""March|TIME"",""17"":""of|Whole""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task18&inst=1b&u=nschneid&psst=&from=90&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=mgreen&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","I brought_ a car _in to have the "" check_engine_ "" _light diagnosed back~in March of 2010 .",BACK in March,@nschneid: BACK in March,"I brought a car in to have the "" check engine "" light diagnosed back in March of 2010 ."
