,v1MWE,P,note,MWE (0 = no change),v2 Scene Role,v2 Prep Function,
ewtb.r.288100.5:33,brief_on,on,,brief~on,Topic,,"Also , I was promised to have my test results emailed to me , but it never happened , and after a_few attempts to get_ Dr._Romanick _on_the_phone to brief_ me _on my condition , I finally gave_up and went to a different doctor ."
ewtb.r.232278.1:15,count_on,on,,0,,,You are the only one auto_glass~repair~shop in the area I would count_on .
ewtb.r.165018.5:33,hang_up_on,on,,hang_up~on,Beneficiary,,"I called reception to ask if they knew the state the room was in and was told "" This is a Days_Inn , not the_Hilton "" and the receptionist then hung_up_on me ."
ewtb.r.391012.4:2,pride_on,on,,0,,,They pride_ themselves _on being an event and team_building company for corporate~clients but you~better_believe they are going_to mark_ you _up on that feel_good premise .
ewtb.r.342807.4:6,raise_on,on,,raised_on; no weak expression,,,"Anyway , I~was~ practically ~raised_on~this stuff , and being a connoisseur of West_Indian cuisine , Jamaica_Way is a_bit toned_down to suit the American palette ."
ewtb.r.275919.2:9,run_on,on,,running on,Instrument,Locus,Before using FusionRetail Before installing FusionRetail store was running_on a dos_based software .
ewtb.r.280340.1:5,take_a_chance_on,on,,took_a_chance~on,Topic,,My girlfriend and I took_a_chance_on this place because we did n't want to wait in line at Outback .
ewtb.r.345182.12:17,use_on,on,,use on,Circumstance,Locus,She asked me to bring_ the original piece _back and I told her I had_to use_ it _on the job .
ewtb.r.107692.6:8,wait_on,on,,0,,,"The staff taking_ your _order and "" waiting_ "" _on you are very indifferent and have~ no ~sense~of costumer_service at_all ."
ewtb.r.063754.2:2,work_on,on,,work~on,Theme,,He worked_on it right on the back of my car .
ewtb.r.330966.4:82,get_over,over,,0,,,"I have never considered this a real problem as I travel without kids and can fend_for myself , but when I had_to listen~to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found_out that the front_desk was unmanned during night hours , my choice was to either waste~ tax_payers ~money by calling for a yet another police dispatch to this hotel , or just get_over~it ."
ewtb.r.245160.6:12,go_over,over,,0,,,after finding the car i wanted they took_the_time to go_over each step and making it as painless as~possible .
ewtb.r.278775.6:20,go_over,over,,0,,,2 . We really liked the fact that Stuart sets defined objectives and we meet once a month to go_over our Key_Performance_Indicators .
ewtb.r.358702.4:8,different_than,than,Adj,different than,ComparisonRef,,I also understand that weekend staffs are different_than daytime staffs and not necessarily Starbucks A_-_team or even full_-_time .
ewtb.r.127252.6:22,no_other_than,than,Det,0,,,"Already I 'm considering future projects , and I can assure you that for my printing needs I will be choosing no_other_than Atlanta_Paperback_Book_Printing ."
ewtb.r.229480.8:13,so_that,that,SConj,0,,,"You can see different treatments that a surgeon ca n't see , so_that you can have_ several treatment _options before you decide what to do ."
ewtb.r.159371.5:11,even_tho,tho,SConj,0,,,i mean a 2 day stay was a ok stay even_tho the manager looked like he was chineze and that we only slept and went_out from 8 to 7 to see New_York .
ewtb.r.003418.9:9,even_though,though,SConj,0,,,"I eventually decided to just pay the balance even_though the doctor has already been paid , but now the collection_agency is trying_to_say another reversal of $ 160.00 has come_through ."
ewtb.r.148971.5:12,even_though,though,SConj,0,,,"Then he renigged when he read my Health_Care_Proxy , even_though i agreed to be on the ventilator for 2 months following surgery ( as he had twice stated i must agree to ) ."
ewtb.r.391012.7:32,even_though,though,SConj,0,,,I 've spoken to vendors who are used by them who had_ nothing good _to_say about the company as_well and in_fact were afraid to quote events against them even_though they openly admitted that they felt Canadian_Outback was pricing_ their entertainment _out_of the market and doing more to hurt their business than help them .
ewtb.r.346960.5:4,be_through,through,,0,,,( I 've been_through at_least 5 places already . )
ewtb.r.107692.9:4,get_through,through,,0,,,"If you have gotten_through ordering , dealing~with the rude staff and if you followed~ the dumb ~rules , you are finally presented_with what you came for .. some tacos that are "" ok , "" but definitely not worth putting_up_with~ all the ~hassle ."
ewtb.r.018562.5:25,go_through,through,,0,,,He is very professional in his position as a director and yet he still made_time to be compassionate for what we were all going_through .
ewtb.r.055976.7:8,go_through,through,,0,,,Sometimes it is not worth_it to go_through that kind of staff and their personal attitude to get to a doctor .
ewtb.r.081934.4:4,go_through,through,,0,,,"As I have gone_through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting ."
ewtb.r.165032.2:2,go_through,through,,0,,,We went_through six photographers to find the right photographers that would represent our firm in_the_light we wished to and Michael and his team made that happen .
ewtb.r.200957.6:13,go_through,through,,0,,,This was a terrible experience and I hope that no one else goes_through that .
ewtb.r.317594.4:2,go_through,through,,0,,,After going_through 5 other places I finally found Janice at Alta_Moda .
ewtb.r.162567.4:5,help_through,through,endure-difficulty,helped~through,Circumstance,Path,"She has not only helped_ me _through some challenging computer - work and sports related injuries , she was wonderful to work~with throughout my pregnancy and beyond ."
ewtb.r.038358.2:8,live_through,through,,0,,,"seriously , can you imagine having_to live_through these last few nights without heat ?"
ewtb.r.354474.3:2,walk_through,through,,0,,,They walked_ me _through all the steps involved in the the installation project so that there were no surprises .
ewtb.r.348369.6:14,go_thru,thru,,0,,,Tmobile want to Send of my phone and i did n't want to go_thru that ...
ewtb.r.319816.12:12,attend_to,to,,0,,,"Once_again , I waited for quite~a_bit before being attended_to ."
ewtb.r.369210.1:14,attend_to,to,,0,,,"When I arrived at Brickell_Honda on 6/4/11 , I was greeted and attended_to by the Sales_Manager , Gustavo_Guerra , in a very friendly and professional manner ."
ewtb.r.376320.10:13,be_no_stranger_to,to,,am no_stranger_to,,,Yes the parking can be a challenge but being from NJ I am_no_stranger_to tight_corners .
ewtb.r.022461.2:3,be_to,to,,0,,,I 've been_to quite~a_few tattoo shops around this area and Stainless_Steel is by_far the best .
ewtb.r.030126.2:10,be_to,to,,0,,,This school is the worst one i 've ever been_to .
ewtb.r.063963.4:4,be_to,to,,0,,,If you have been_to the London_Aquarium I would not even bother~with this .
ewtb.r.156460.2:3,be_to,to,,0,,,I have been_to Kim at Cheveux for more_than five years .
ewtb.r.160073.5:25,be_to,to,,0,,,Everything we have gotten there has been more authentic and better tasting than any other Chinese restaurant in the San_Antonio area we have been_to -- and trust me we have been_to a_lot of them .
ewtb.r.160073.5:33,be_to,to,,0,,,Everything we have gotten there has been more authentic and better tasting than any other Chinese restaurant in the San_Antonio area we have been_to -- and trust me we have been_to a_lot of them .
ewtb.r.171120.1:11,be_to,to,,0,,,this is the worst Sam_s_club I 've ever been_to
ewtb.r.200566.3:8,be_to,to,,0,,,THIS IS THE WORST SCHOOL I VE BEEN_TO !!!!!!
ewtb.r.228944.2:10,be_to,to,,0,,,This shop is by_far the best I have been_to .
ewtb.r.230176.3:14,be_to,to,,0,,,"I have been suffering from back_pain for over 12 years and have been_to numerous specialists , physios , osteos and chiros with no help ."
ewtb.r.235576.7:4,be_to,to,,0,,,"If you 've been_to North_County , chances_are it 's in your favorites list already ."
ewtb.r.241739.2:9,be_to,to,,0,,,"Firstly , the other reviewer clearly has never been_to Nick_'s , or he would know that Nick only charges $ 13 for a haircut which is pretty much industry standard ."
ewtb.r.335490.1:5,be_to,to,,0,,,Cleanest guesthouse i have been_to
ewtb.r.339176.2:3,be_to,to,,0,,,I 've been_to this shop twice ( once for an inspection and again for an oil_change ) and they truly live_up_to~ their ~name : Discount !
ewtb.r.360698.1:10,be_to,to,,0,,,It s been a_few years since I have been_to Ipanema .
ewtb.r.338429.10:6,belong_to,to,,0,,,The apartment across from mine belonged_to a gang of hookers .
ewtb.r.279437.1:4,close_to,to,Adj,close~to,Locus,Goal,"Excellent service , close_to the morse~red_line stop ."
ewtb.r.315763.5:9,close_to,to,Adj,close~to,Locus,Goal,"Although the apartments are facing Stokes_Street and close_to the Bascom_Light_Rail , the location is surprisingly quiet ."
ewtb.r.243799.2:9,come_home_to,to,,came~home to,Goal,,went in there and got my dog groomed came_home_to an uneven dog then took him back to get evened_up what a mistake !
ewtb.r.045753.1:1,compare_to,to,,compare~to,ComparisonRef,Goal,Compare_to last decade this University is gaining more prestige in International level
ewtb.r.125629.1:22,compare_to,to,,compare~to,ComparisonRef,Goal,"Anyone else find it a little suspicious that there are not only 20 reviews for this dentist ( a HUGE number compared_to the others in the area ) , but that they all have the same unique grammar_structure ?"
ewtb.r.186284.5:28,compare_to,to,,compare~to,ComparisonRef,Goal,"She is so talented , the flowers were arranged superbly and delicately , it is so obvious to see the difference between someone fully trained and skilled compared_to others ."
ewtb.r.209465.4:6,compare_to,to,,compare~to,ComparisonRef,Goal,The service here is incredible compared_to the other places .
ewtb.r.211797.13:30,compare_to,to,,compare~to,ComparisonRef,Goal,"Aside_from that little * mystery * , one of the sales_ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared_to one of her dresses that I was trying_on ."
ewtb.r.181771.6:2,get_to,to,,0,,,"We got_to~talking and he got me set_up and I test_drove with Craig and I fell~head_over_heels~for this car all I kept~saying , "" was I got_ta have it ! """
ewtb.r.319816.5:21,get_to,to,,got to,Goal,,"Once inside , I had_to stand_around for at_least 10 more minutes before -- FINALLY -- a technician got_to me ."
ewtb.r.345182.6:3,get_to,to,i.e. arrived at,got to,Goal,,When I got_to the job and tried to insert the new piece of metal IT WOULD NOT FIT !!
ewtb.r.212369.2:2,get_upgrade_to,to,,got upgraded~to,Goal,,We got_upgraded_to a corner suite !
ewtb.r.290594.11:34,get_used_to,to,,getting~used_to,,,"You were clearly given_ another _alternative by Second_Home , to board him - which might have given_ your dog a _chance to come and go from Second_Home a_couple times , getting_used_to the place and maybe facilitating another attempt to get_into daycare later ."
ewtb.r.279070.2:1,happen_on_to,to,,0,,,"Happened_on_to this place while out_of_town on_business , and it was great !"
ewtb.r.339176.2:23,live_up_to,to,,0,,,I 've been_to this shop twice ( once for an inspection and again for an oil_change ) and they truly live_up_to~ their ~name : Discount !
ewtb.r.079375.10:4,look_forward_to,to,,0,,,In_fact I look_forward_to taking my animals to the vet simply because_of how my animals and I are treated .
ewtb.r.106150.4:10,look_forward_to,to,,0,,,They are preparing my older son for kindergarten and looks_forward_to seeing his teacher and friends every day .
ewtb.r.330966.7:23,look_forward_to,to,,0,,,"I will probably stay here again because it s cheap and I ca nt afford a better hotel , but do not look_forward_to it and would definitely not recommend this hotel for families or single female travellers ."
ewtb.r.241739.3:15,pay_attention_to,to,,pay_attention~to,Stimulus,Goal,I have been going to Nick for 5 months now precisely because he does pay_attention_to~detail .
ewtb.r.077414.3:3,prefer_to,to,,prefer~to,ComparisonRef,Goal,I much preferred_ the one_-_on_-_one service here _to the experiences_ I 've _had with bigger offices and firms .
ewtb.r.100592.6:7,reccommend_to,to,,reccommend~to,Recipient,Goal,"excellent , top guys a_+++++ reccommend_to anyone !!!!!!!!!!"
ewtb.r.211797.14:41,refer_to,to,,0,,,"Somehow , since she supposedly does n't know any names of designers / dresses , after I told her the designer and dress name of the one I was comparing , she knew "" exactly which dress "" I was referring_to and disagreed~with my observation ; she said that the bodice did come as low as the one I had_on ."
ewtb.r.272836.2:17,refer_to,to,,0,,,"Since moving back from college and trying to settle roots in the Village , I have referred_to the La_Jolla Blue_Book for a ton of local numbers ."
ewtb.r.042085.4:1,stick_to,to,"cf. stick with, by (TODO: need a corpus study)",0,,,"Stick_to Hop_Hing , 20 year + resident ."
ewtb.r.039856.4:2,talk_down_to,to,,0,,,"They talk_down_to you like they are supreme_beings , if you hate your job so much then quit !!"
ewtb.r.003418.8:3,turn_over_to,to,,turned_over,Recipient,Goal,They eventually turned_ it _over_to a collection_agency and now will not even discuss~the~matter .
ewtb.r.331662.6:32,turn_to,to,cf. turn into,0,,,"They do n't just dump your ingredients on and cook either , but carefully separate meat to the hotter parts of the grill and still manage to keep_ the veggies _from turning_to mush ."
ewtb.r.398243.7:12,used_to,to,TYPO: was used to,0,,,"The price was actually lower than what I had anticipated and used_to compared to other places , plus he showed me the work_ he _did when I came_in to pick_up the car ."
ewtb.r.235190.2:27,when_it_come_to,to,Phrase,0,,,"Believe_it_or_not , but the channel guide has been most helpful to my family members that visit and do n't know where to start when_it_comes_to watching satellite_tv ."
ewtb.r.192713.6:11,be_too,too,TYPO: be to,0,,,This is one of the best farms I have ever been_too .
ewtb.r.043020.18:2,come_in_under,under,,came_in under,Locus,,They came_in_under a_lot of other quotes and now I know why !!!
ewtb.r.036753.5:7,fall_under,under,,falls~under~catagory,Locus,,Well I think a blown engine falls_under the catagory of mechanics right ?
ewtb.r.382073.2:2,come_upon,upon,cf. come across,came~upon,Goal,,I came_upon this store as the building caught_my_eye .
ewtb.r.010378.2:4,have_experience_w,w,,have_experience~w,Topic,,I did not have_ a good _experience_w / Dr._Ghassemlou .
ewtb.r.004574.6:7,come_with,with,,0,,,"Secondly , the enchladas did not come_with enchilada_sauce .. but chili ... like Hormel_'s_chili .. the cheese was American_cheese !"
ewtb.r.142081.4:3,come_with,with,,0,,,It also came_with free balance and rotation for the life of the tires !
ewtb.r.126171.1:2,concerned_with,with,Adj,0,,,Only Concerned_With Money
ewtb.r.062167.6:17,couple_with,with,Adj,0,,,"She guided me through a very difficult period dealing_with a family member 's suicide , coupled_with elder abuse ."
ewtb.r.035899.4:8,deal_with,with,,0,,,Their sense_of_humour and calmness when dealing_with the little ones amazes me every time I walk in .
ewtb.r.059416.4:6,deal_with,with,,0,,,"The management was easy to deal_with during the planning stages , and the execution by the kitchen and wait_staff was flawless ."
ewtb.r.062167.6:9,deal_with,with,,0,,,"She guided me through a very difficult period dealing_with a family member 's suicide , coupled_with elder abuse ."
ewtb.r.071650.14:10,deal_with,with,,0,,,The equipment and classes are n't good enough to deal_with the rudeness from the staff !!!
