,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.192713.8:21,like,,,Comparison/Contrast,??,??,,,,"It put hair on my chest and thanks to the owner s advice I invested vanguard , got myself a woman |like| Jerry , and became a republican ."
ewtb.r.326649.6:0,Like,,,Comparison/Contrast,??,??,,,,|Like| the girl with the fuse problem ...
ewtb.r.329692.11:6,on,,,Locus,TYPO: in?,??,,,,and sometimes karma can manifest itself |on| a bad review on Google .
ewtb.r.121651.3:3,on,,,Manner,TYPO: in?,??,,,,Everything was done |on| a timely manner and things were cleaned and picked up every day when the crew was done .
ewtb.r.039383.4:12,on,,,Quantity,,??,,,,"Cons : * Server was n't very pleasant * Pretty small portion |on| the blackened catfish * Overcooked food * Time , took about 25 minutes from ordering to eating ."
ewtb.r.336049.4:47,out,,,InitialLocation,missing OF?,??,,,,"Very frustrating for a restaurant that has 1 rosette and is supposedly renowned for the service ... hmm There was no canape's or amuse to keep us occupied , once we complained about the wait they took us something to nibble on but that took us getting |out| our chairs and wondering round to do that and it was impossible to get anyone s attention ."
ewtb.r.081934.3:5,since,,,Duration,BROKEN ENGLISH,??,,,,I work with him and |since| past 6 years he is hosting his websites to Liquidweb .
ewtb.r.391012.6:26,through,,I,1DTrajectory,TYPO: throughout?,??,,,,The craziest part is that they are n't even based locally at the city I 'm in - they just have ' teams ' in areas |through| the country .
ewtb.r.042416.5:11,to,,,Explanation,MISSING: due/thanks (to),??,,,,"The weekend was perfect in every way , in large part |to| Sue and her great staff ."
ewtb.r.034320.3:15,to,,,Co-Theme,,??,,,,"Paula has an amazing gift for creativity , vision and the ability to combine art |to| / with commercial purpose ."
ewtb.r.311138.3:20,to,,,Comparison/Contrast,,??,,,,"Chasing them on issues from the day I moved in ( many of them still unresolved as I left ) |to| all sorts of farcical issues with funds , after I left . . . . as soon as I could ."
ewtb.r.323449.7:33,to,,,Comparison/Contrast,,??,,,,"I understand not wanting to put labels like 5.10 on an indoor course , because yes , it is not the same , but some clear understanding of the difficulty of one course |to| another is nice when you are an intermediate climber looking to improve ."
ewtb.r.228731.1:4,with,,,ProfessionalAspect,,??,,,,"prepared the road test |with| a driving ... prepared the road test with a driving school in edmonton , but my instructor only trained me in a narrow street , hence I took one 90 minute lesson from the Noble driving school to learn the skill of changing lane , and found them very friendly and professional ."
ewtb.r.303922.4:8,versus,,,Comparison/Contrast,,`c,,,,They are honest about ' immediate ' concerns |versus| ' recommended ' repairs and have very fair prices .
ewtb.r.235576.4:12,with good reason,,,Explanation,,`d,collocated with “and”,,,T 's has been a North County landmark for thirty years and |with| |good| |reason| .
ewtb.r.008585.8:2,without,,,State,without doubt,`d,WITHOUT_A_DOUBT,,,"It 's |without| a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price for putting on the other rear tire ."
ewtb.r.004574.6:14,like,,,Comparison/Contrast,AsIn,`d,,,,"Secondly , the enchladas did not come with enchilada sauce .. but chili ... |like| Hormel 's chili .. the cheese was American cheese !"
ewtb.r.158335.3:22,more like,,,Comparison/Contrast,,`d,,,,"The neon lighting sign still said "" on "" yet some guy who seemed to be the oldest of the bunch , |more| |like| the drunkest of the bunch told me they 'd be open tomorrow ."
ewtb.r.376503.4:5,with,,,Attribute,,`d?,,,,Very high pressured sales and |with| the reviews of many others bad service .
ewtb.r.026883.5:14,for,,,ProfessionalAspect,,`i,,,,"On August 21st , 2009 I ordered furniture from Hickory Furniture Mart and contracted |for| HDS to deliver it ."
ewtb.r.272836.2:7,to,,,Purpose,try to,`i,,,,"Since moving back from college and trying |to| settle roots in the Village , I have referred to the La Jolla Blue Book for a ton of local numbers ."
ewtb.r.299169.3:3,to,,,Purpose,try to,`i,,,,"When I tried |to| return it they refused , so I had to leave without a refund and still hungry ."
ewtb.r.333672.6:2,to,,,Purpose,try to,`i,,,,They tried |to| run my credit score as less as possible so it wo n't hurt my score .
ewtb.r.342811.4:23,to,,,Purpose,try to,`i,,,,"Got put into the wrong room the first night , and were quite surprised to have someone with the same room key trying |to| get in the door at 1:00 am !"
ewtb.r.345182.6:8,to,,,Purpose,try to,`i,,,,When I got to the job and tried |to| insert the new piece of metal IT WOULD NOT FIT !!
ewtb.r.295491.6:11,near,,I,Location,,`j?,,,,Will be staying here any and every time I come anywhere |near| .
ewtb.r.155050.2:10,all round,,,Extent,,`r,,,,service could be a little better but it s an |all| |round| good place
ewtb.r.229410.11:4,too,,,Extent,,`r,,,,This company is way |too| expensive with nothing to show for it .
ewtb.r.229623.2:4,too,,,Extent,,`r,,,,"While there was n't |too| much available for their age ( ball pit , bouncy area and a little padded pyramid to climb on ) , we went right when they opened at 10 am on a winter weekday and ended up being the only ones there , so we were given a little more liberty than we would have if others had been there ."
ewtb.r.071278.5:20,with,,,Accompanier,,Accompanier,Co-Agent,,,She has taken care of my sweet girl for almost 4 years now and I would not let Gracee go |with| anyone besides her !!!
ewtb.r.308088.4:25,with,,,Accompanier,,Accompanier,Co-Agent,,,As a previous Internet Manager I would deal with anyone looking to buy a car for a profit and not care if they came in |with| a broker .
ewtb.r.004540.3:15,along with,,,Accompanier,,Accompanier,,,,"Additionally , when there was confusion ( my fault ) , they left me flowers |along| |with| a personalized gift ."
ewtb.r.112579.2:12,along with,,,Accompanier,,Accompanier,,,,"I have been eating Cuban for a long time , sandwiches mainly |along| |with| other dishes .."
ewtb.r.148971.14:2,along with,,,Accompanier,,Accompanier,,,,"I , |along| |with| my friends , consider this doctor to be the cause of my death as he is not even trying to save my life by operating ."
ewtb.r.348247.7:16,together,,I,Co-Agent,,Accompanier,,,,"They have been my only "" go - to "" resource since we first did business |together| ."
ewtb.r.053248.9:10,together,,,Manner,,Accompanier,,,,"Then again , for the three of us who dined |together| , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.299148.4:24,together,,,Manner,,Accompanier,,,,The family suite was basically two rooms with a small opening between them which worked great for us because we were two families traveling |together| .
ewtb.r.008585.2:10,with,,,Accompanier,,Accompanier,,,,I was recently traveling down I - 24 from Nashville |with| my 3 young children and had a blowout on the southeast side of Murfreesboro .
ewtb.r.037794.2:9,with,,,Accompanier,,Accompanier,,,,"Got the crab rangoon which was great , tofu |with| cabbage which was spicy but good and shrimp satay which was also good ."
ewtb.r.068436.4:5,with,,,Accompanier,,Accompanier,,,,I ordered a kid meal |with| a milk and found a bottle was half opened already .
ewtb.r.070730.1:33,with,,,Accompanier,,Accompanier,,,,"We decided to try this place last night because we noticed that it had some interesting things on the menu aside from the usual rolls -- live scallop sashimi , duck breast nigiri |with| foie gras , panko mussels -- but none of these were particularly great or worth the sticker price ."
ewtb.r.093655.7:14,with,,,Accompanier,,Accompanier,,,,"I was a waitress for years and a key rule is to serve customers |with| small children before others , as I was the last to get my food ."
ewtb.r.105326.2:6,with,,,Accompanier,,Accompanier,,,,+ there is a free cola |with| every pizza .
ewtb.r.112661.4:4,with,,,Accompanier,,Accompanier,,,,Brought my wife Deb |with| me and she like the Fried Crab Wontons and said they were good ..
ewtb.r.134622.2:6,with,,,Accompanier,,Accompanier,,,,"From the amount of time spent |with| us to explain things during the initial quote , to the communication through the approval process to the actual workmanship of the build itself ."
ewtb.r.135800.10:7,with,,,Accompanier,,Accompanier,,,,They still would not drive the car |with| me to show their mpg number .
ewtb.r.181771.6:14,with,,,Accompanier,,Accompanier,,,,"We got to talking and he got me set up and I test drove |with| Craig and I fell head over heels for this car all I kept saying , "" was I got ta have it ! """
ewtb.r.229623.4:14,with,,,Accompanier,,Accompanier,,,,For $ 4 it was a nice break from the monotony of winter indoors |with| a toddler .
ewtb.r.305187.2:5,with,,,Accompanier,,Accompanier,,,,Enjoyed this cozy little spot |with| a group of 8 folks .
ewtb.r.307250.1:4,with,,,Accompanier,,Accompanier,,,,$ 9.62 excluding tip |with| water to drink for the buffet .
ewtb.r.342811.3:6,with,,,Accompanier,,Accompanier,,,,We were booked at the Sheraton |with| a number of other out - of - town wedding guests .
ewtb.r.360937.4:14,with,,,Accompanier,,Accompanier,,,,"All were awesome , & I had a Dogwood Grilled Cheese which was enjoyable |with| the fine beers ."
ewtb.r.342811.5:12,with,,,Circumstance,,Accompanier,,,,"Next day got moved into another room , on the same floor |with| other wedding guests ."
ewtb.r.159485.1:26,with,,,Co-Agent,,Accompanier,,,,In this hard economic times is very important to save money Very reasonable prices top quality work The owner operator he does all the the work |with| Helpers very friendly I definitely recommend this this guys Do n't get jack by big companies that they pay a lot of money to be on top of the list Thanks
ewtb.r.201972.5:6,with,,,Co-Agent,,Accompanier,,,,They spent a lot of time |with| me and got me into a great pair of shoes .
ewtb.r.396880.2:9,with,,,Co-Agent,,Accompanier,,,,"I tried to stay here for a few nights |with| my girlfriend , so we asked for a single queen bed ."
ewtb.r.330966.4:11,without,,,Accompanier,,Accompanier,,,,"I have never considered this a real problem as I travel |without| kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.274106.3:28,for,,,Experiencer,for oneself,Agent,Beneficiary,ewtb.r.274106.3:28,Beneficiary,"My sister in law told me about this amazing new crepe place in town , I was so excited I just wanted to go and test it out |for| my self !"
ewtb.r.086839.11:4,of,,,Possessor,,Agent,Possessor,,,"It was the fault |of| the parts supplier , and can we imagine how he felt having to put another 2 hours of work in the car ."
ewtb.r.047762.6:4,from,,,Donor/Speaker,Agency as giving: hospitality FROM,Agent,Source,,,"It is the hospitality |from| Tom and staff , that makes it feel like a 5 star hotel in the middle of the beach ."
ewtb.r.022900.1:3,from,,,Source,effort FROM,Agent,Source,,,Very hard work |from| the boys in blue there !
ewtb.r.022900.3:3,from,,,Source,effort FROM,Agent,Source,,,Very hard work |from| the boys in blue there !
ewtb.r.039856.2:3,from,,,Source,service FROM,Agent,Source,,,Absolute horrible service |from| the parts department .
ewtb.r.054798.4:6,from,,,Source,service FROM,Agent,Source,,,I 've had 2 cuts now |from| Georgia and have paid more in other salons / barbershops and have not received this kind of treatment or cut !
ewtb.r.084373.1:7,of,,,Agent,,Agent,Source,,,We are very pleased with the services |of| First Glass Window .
ewtb.r.210875.1:3,by,,,Agent,?,Agent,,,,Bulwark regarding service |by| Eric
ewtb.r.211797.9:45,by,,,Agent,?,Agent,,,,"They either : a ) do n't want to give it to me because they do n't want me purchasing the dress elsewhere or b ) are recreating the dresses themselves ( ie STEALING other designers ' dress designs and "" filling the orders "" |by| their own seamstresses ) ."
ewtb.r.363685.21:1,By,,,Agent,?,Agent,,,,"( |By| whom , I do n't know ."
ewtb.r.134622.1:6,by,,,Agent,build,Agent,,,,We just got our sunroom built |by| Patio World and can say that I 'm extremely happy with the whole thing .
ewtb.r.266591.3:5,by,,,Agent,cook,Agent,,,,The food is cooked fast |by| the two chefs on duty .
ewtb.r.267982.2:4,by,,,Agent,donate,Agent,,,,The lesson was donated |by| the teacher Adz .
ewtb.r.059416.4:15,by,,,Agent,execution,Agent,,,,"The management was easy to deal with during the planning stages , and the execution |by| the kitchen and wait staff was flawless ."
ewtb.r.290594.11:6,by,,,Agent,give an alternative,Agent,,,,"You were clearly given another alternative |by| Second Home , to board him - which might have given your dog a chance to come and go from Second Home a couple times , getting used to the place and maybe facilitating another attempt to get into daycare later ."
ewtb.r.110441.6:11,by,,,Agent,greet,Agent,,,,"Well I was in for a treat when I was greeted |by| the friendly girls at the counter who asked if my wife and I would like to sit in their "" new "" dining room ."
ewtb.r.121342.1:13,by,,,Agent,greet,Agent,,,,"We were expecting a great experience , when we recieved a friendly greeting |by| the hosts ."
ewtb.r.369210.1:15,by,,,Agent,greet and attend to,Agent,,,,"When I arrived at Brickell Honda on 6/4/11 , I was greeted and attended to |by| the Sales Manager , Gustavo Guerra , in a very friendly and professional manner ."
ewtb.r.187266.2:6,by,,,Agent,introduce,Agent,,,,"We were introduced to Bistro Tallulah |by| traveler - professional diner who happens to own the Adelphi Hotel and travels the world -- and residing in Paris , London , New York the rest of the year ."
ewtb.r.159485.1:40,by,,,Agent,jack,Agent,,,,In this hard economic times is very important to save money Very reasonable prices top quality work The owner operator he does all the the work with Helpers very friendly I definitely recommend this this guys Do n't get jack |by| big companies that they pay a lot of money to be on top of the list Thanks
ewtb.r.081796.6:24,by,,,Agent,make,Agent,,,,"In addition , the clothing is of much better quality than the clothing from hot topic , which is made as cheaply as possible |by| people living in horrible conditions in Asia ."
ewtb.r.023620.3:7,by,,,Agent,manage,Agent,,,,The whole experience shows a hotel managed |by| what must be a 2 star hotel manager .
ewtb.r.351727.2:18,by,,,Agent,own/operate,Agent,,,,"This place is identical to the Youngstown Sports Grille , so I imagine they are owned / operated |by| the same people ."
ewtb.r.107608.2:10,by,,,Agent,replace,Agent,,,,I v just had my bmw z3 rear window replaced |by| the guys at kelvin trimmers .
ewtb.r.131458.4:29,by,,,Agent,run,Agent,,,,I have been extremely pleased with the signs and pop - up banners she has supplied to me over the years - a truly first class family business run |by| Tina and her husband Chris .
ewtb.r.351058.6:9,by,,,Agent,shut down,Agent,,,,"in my opinon this place should be shut down |by| the health inspector , and anyone who is satisfied with there service and food has never eaten at a real asian restaurant ."
ewtb.r.128168.5:10,by,,,Agent,take,Agent,,,,There were four of us and I was taken first |by| a gentleman .
ewtb.r.364454.4:20,by,,,Agent,test,Agent,,,,"Not only were my wife and I very pleased , but I also had the air duct quality tested professionally |by| the home inspector that I regularly use , before and after United Air Duct performed their work ."
ewtb.r.071650.10:10,by,,,Agent,treat,Agent,,,,I would understand if I was being treated this way |by| a staff member but the club 's actual OWNER ?!
ewtb.r.124163.2:15,by,,,Agent,treat,Agent,,,,I had a severe phobia of attending the dentist until I met and was treated |by| Dr Nelson .
ewtb.r.391012.7:8,by,,,Agent,use,Agent,,,,I 've spoken to vendors who are used |by| them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.263630.3:16,by,,,Agent,wake up,Agent,,,,My boyfriend and I were woken up in the middle of the night at our campsite |by| drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.164805.8:4,on,,,Agent,,Agent?,Locus,,,Fair give and take |on| both sides until we agreed on a deal that was within my parameters and was fair to both sides .
ewtb.r.101972.11:14,a least,,,Approximator,,Approximator,,,,My conclusion is that you should only go there if you want to wait |a| |least| an hour and see all kinds other people being seated before you .
ewtb.r.006970.2:4,about,,,Approximator,,Approximator,,,,We arrived Sunday at |about| 230 and found a do we really liked .
ewtb.r.018548.11:3,about,,,Approximator,,Approximator,,,,it runs you |about| 4 bucks and it deals crushing blows to hunger .
ewtb.r.036133.2:2,about,,,Approximator,,Approximator,,,,I bought |about| half of the furniture I own from this place .
ewtb.r.039383.4:23,about,,,Approximator,,Approximator,,,,"Cons : * Server was n't very pleasant * Pretty small portion on the blackened catfish * Overcooked food * Time , took |about| 25 minutes from ordering to eating ."
ewtb.r.059005.3:3,about,,,Approximator,,Approximator,,,,I go in |about| every morning to get bagels for myself or my co-workers and the employees at Max 's are great !!
ewtb.r.093655.4:17,about,,,Approximator,,Approximator,,,,"Today we went for a party ( during lunch , so the place was empty ) with |about| 25 other people ."
ewtb.r.101972.3:5,about,,,Approximator,,Approximator,,,,We signed our name in |about| 6:00 pm .
ewtb.r.101972.5:5,about,,,Approximator,,Approximator,,,,The greeter said there was |about| 15 minutes waiting .
ewtb.r.122882.6:7,about,,,Approximator,,Approximator,,,,$ 80 for a dish that has |about| one small lobster tail and is full of filler vegetables !
ewtb.r.164805.7:4,about,,,Approximator,,Approximator,,,,The entire negotiation took |about| 20 minutes .
ewtb.r.190256.4:11,about,,,Approximator,,Approximator,,,,The best part is I got my whole bathroom remodeled for |about| the same price the other compan's were quoting just to fix the shower tile and fixtures .
ewtb.r.190256.5:6,about,,,Approximator,,Approximator,,,,They had the work done in |about| half the time quoted which made me and my wife extremely happy .
ewtb.r.210019.2:3,about,,,Approximator,,Approximator,,,,We go over |about| 5 times a year .
ewtb.r.232157.5:6,about,,,Approximator,,Approximator,,,,"We had a large party , |about| fifty people or so , and yet everything was served quickly and we all had a wonderful time ."
ewtb.r.235423.11:5,about,,,Approximator,,Approximator,,,,We had to throw out |about| 80 percent of our meals because the food tasted so horrible .
ewtb.r.235423.5:2,about,,,Approximator,,Approximator,,,,They helped |about| three other people before they offered to help me again .
ewtb.r.235423.9:8,about,,,Approximator,,Approximator,,,,Not to mention that the wait staff was |about| as pleasant as dealing with an angry bull .
ewtb.r.247097.4:9,about,,,Approximator,,Approximator,,,,I experienced a Definite Decrease in food craving ( |about| 50 % ) and decrease in stress after the 1st treatment .
ewtb.r.247097.7:11,about,,,Approximator,,Approximator,,,,I am now more at peace and my food craving is |about| 99 % gone after only 3 treatments .
ewtb.r.251774.2:7,about,,,Approximator,,Approximator,,,,I came in and saw Dr. Ruona |about| a month ago for quitting smoking .
ewtb.r.262422.3:6,about,,,Approximator,,Approximator,,,,Jason and the boys can do |about| anything you need .
ewtb.r.266591.4:12,about,,,Approximator,,Approximator,,,,The lunch specials are more food than most people can eat for |about| $ 6 .
ewtb.r.275140.2:3,about,,,Approximator,,Approximator,,,,We 've had |about| 5 repairs done on 3 different laptops .
ewtb.r.288930.3:19,about,,,Approximator,,Approximator,,,,Try the 360 restraunt u spin in the cn tower with a beautiful view the sky pod elevator is |about| an hour line up in the summer
ewtb.r.319816.13:15,about,,,Approximator,,Approximator,,,,"I got the order completed , and then questioned the technician since it came out |about| $ 40 less than I expected ."
ewtb.r.319816.4:2,about,,,Approximator,,Approximator,,,,"I waited |about| 20 minutes in the store part before anyone was able to assist me and was then told to pull my car into the shop ( that is apparently what you are supposed to do , but the big signs pointing you that way are for some reason kept inside the garage , so you do n't see them drving up , and they purposely block the front pull - up that all other Sear's use ) ."
ewtb.r.043020.14:11,all of,,,Approximator,,Approximator,,,,I 'm very frustrated at this point - it would take |all| |of| 10 min for them to come by and replace the one board that is cracked ( the crack is deep enough to stick a penny in it and it goes clear through ) yet they do not want to take the time to bother with what once WAS a happy customer and has now become a dissatisfied customer .
ewtb.r.037794.1:3,around,,,Approximator,,Approximator,,,,We came at |around| 730 and they close at 8 and wanted to try the specials but they were out for the day so I would say go way before they close .
ewtb.r.210066.6:27,around,,,Approximator,,Approximator,,,,"Got the tile ripped out , call today , now all the sudden this grinder wo n't leave a finished look AND it 's $ 125 PLUS |around| $ 75 for the inserts ."
ewtb.r.263630.3:22,around,,,Approximator,,Approximator,,,,My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who 'd arrived |around| 1:00 am and were drinking at the springs .
ewtb.r.331662.10:9,around,,,Approximator,,Approximator,,,,"Prices are reasonable , ( Kid s meals are |around| 4.99 ) and Wednesday's they have discount dinner prices , I believe ."
ewtb.r.054269.2:5,at least,,,Approximator,,Approximator,,,,"Compact 's Corona dryers remove |at| |least| twice as much water as the previous dryers , allowing a production increase of over 10 % and a significant energy saving ."
ewtb.r.112579.3:23,at least,,,Approximator,,Approximator,,,,"I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in |at| |least| once a week and anytime I 'm in the area for a Cuban coffee or snack ."
ewtb.r.148971.6:10,at least,,,Approximator,,Approximator,,,,"He later said that by 2 months he "" meant |at| |least| two months "" ."
ewtb.r.148971.7:3,at least,,,Approximator,,Approximator,,,,Two months and |at| |least| two months are totally different things .
ewtb.r.255261.11:2,at least,,,Approximator,,Approximator,,,,Stop by |at| |least| once or you 'll go to heck !
ewtb.r.319816.5:9,at least,,,Approximator,,Approximator,,,,"Once inside , I had to stand around for |at| |least| 10 more minutes before -- FINALLY -- a technician got to me ."
ewtb.r.326439.9:3,AT LEAST,,,Approximator,,Approximator,,,,I EAT HERE |AT| |LEAST| 5 DAYS A WEEK .
ewtb.r.346960.5:5,at least,,,Approximator,,Approximator,,,,( I 've been through |at| |least| 5 places already . )
ewtb.r.091704.9:6,just about,,,Approximator,,Approximator,,,,"Plus they will overcharge you for |just| |about| everything , and smile while doing it ."
ewtb.r.165143.4:3,just about,,,Approximator,,Approximator,,,,The service was |just| |about| as good as I 'd get in NYC ( that means it was poor ) and the food was almost mediocre .
ewtb.r.361545.4:11,just about,,,Approximator,,Approximator,,,,"I availed myself of the wash 'n fold service , taking |just| |about| a year 's worth of dirty clothes in and getting back neatly folded , clean clothes in clear plastic bags ( I 'd originally brought them in , in six large yellow garbage bags ) ."
ewtb.r.085980.6:3,less than,,,Approximator,,Approximator,,,,This was a |less| |than| impressive experience at Trio 's .
ewtb.r.086839.5:12,less than,,,Approximator,,Approximator,,,,"We took it back in to have it repaired again , and |less| |than| a week later the second compressor went out ."
ewtb.r.094621.4:7,less than,,,Approximator,,Approximator,,,,The second vendor charged $ 55 ( |less| |than| half of what A&E charges ) to come and applied that to the price of the repair service ( which A&E does not ) .
ewtb.r.154157.3:2,less than,,,Approximator,,Approximator,,,,"He was |less| |than| half of the price of the cheapest quote we got , and his work was top notch ."
ewtb.r.156460.6:18,less than,,,Approximator,,Approximator,,,,I am made to feel special when I am in the chair and I have NEVER had a |less| |than| amazing cut or color experience .
ewtb.r.319816.13:18,less than,,,Approximator,,Approximator,,,,"I got the order completed , and then questioned the technician since it came out about $ 40 |less| |than| I expected ."
ewtb.r.341397.2:7,less than,,,Approximator,,Approximator,,,,they fixed my garage doors in literally |less| |than| an hour .
ewtb.r.210066.7:6,like,,,Approximator,,Approximator,,,,I can rent another machine for |like| $ 60 that will give it a finished look .
ewtb.r.156460.2:8,more than,,,Approximator,,Approximator,,,,I have been to Kim at Cheveux for |more| |than| five years .
ewtb.r.158740.2:6,more than,,,Approximator,,Approximator,,,,it was worth of the ride |more| |than| an hour ...
ewtb.r.227515.4:7,more than,,,Approximator,,Approximator,,,,I never wait in the waiting room |more| |than| two minutes and the cleanings are quick and painless .
ewtb.r.333243.5:18,MORE than,,,Approximator,,Approximator,,,,"I expected to pay for this service , but imagine my surprise when I received a bill for |MORE| |than| what I paid to have the original return prepared ."
ewtb.r.043020.11:5,over,,,Approximator,,Approximator,,,,Well - when you pay |over| $ 1000 for something you want it to hold up and look good !!!
ewtb.r.047184.5:8,over,,,Approximator,,Approximator,,,,We have attended A Ward Dance Centre for |over| a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening ....
ewtb.r.047762.2:10,over,,,Approximator,,Approximator,,,,"I have been going to the Wildwood , NJ for |over| 30 years for summer vacations and always call the Madrid first ."
ewtb.r.054269.2:21,over,,,Approximator,,Approximator,,,,"Compact 's Corona dryers remove at least twice as much water as the previous dryers , allowing a production increase of |over| 10 % and a significant energy saving ."
ewtb.r.063963.3:24,over,,,Approximator,,Approximator,,,,"Even taking into account the fact that my 3 year old wanted to run most of the way round , it took us just |over| one hour start to finish ."
ewtb.r.081796.3:6,over,,,Approximator,,Approximator,,,,I have been shopping there for |over| six years now .
ewtb.r.093655.5:2,over,,,Approximator,,Approximator,,,,It took |over| 1.5 hours for our food to come out and by that time my 8 month old had it !
ewtb.r.095040.3:5,over,,,Approximator,,Approximator,,,,"She worked with us for |over| a year , helping us find our perfect home ."
ewtb.r.131458.2:13,over,,,Approximator,,Approximator,,,,I have been a friend and customer of Signs of Saltford for well |over| 12 years now and I also became their website supplier some 3 years ago .
ewtb.r.164805.10:3,over,,,Approximator,,Approximator,,,,"I have purchased |over| 15 vehicles ( cars , rvs , and boats ) in my lifetime and I have to say the experience with Michael and Barrett Motor Cars of San Antonio was one of the best ."
ewtb.r.230176.3:8,over,,,Approximator,,Approximator,,,,"I have been suffering from back pain for |over| 12 years and have been to numerous specialists , physios , osteos and chiros with no help ."
ewtb.r.248124.2:12,over,,,Approximator,,Approximator,,,,It is the real thing - I have been practicing Pilates for |over| 7 years and would not go anywhere else .
ewtb.r.263909.2:2,over,,,Approximator,,Approximator,,,,Bisconti wanted |over| $ 300 to fix my laptop and these guys fixed it for $ 90 !
ewtb.r.319816.20:0,Over,,,Approximator,,Approximator,,,,|Over| two hours later ( and ten minutes before they closed ) my car was finally finished .
ewtb.r.336049.3:3,over,,,Approximator,,Approximator,,,,"~ It took |over| 40 mins to be taken to our table , once there it took another 20 mins to get our orders and a further 45 mins till our starters landed on our table ."
ewtb.r.391012.5:16,over,,,Approximator,,Approximator,,,,"On a recent event quote that I had done , they came in thousands of dollars |over| their local competition ."
ewtb.r.200957.2:10,plus,,,Approximator,,Approximator,,,,I have been growing my hair out for 1 year |plus| and went in to get 1 inch taken off .
ewtb.r.101398.4:3,about,,,Attribute,,BE_ALL_ABOUT?,,,,Napa is all |about| wine but gives very short descriptions of the wines on their lists .
ewtb.r.391012.7:29,against,,,Beneficiary,,Beneficiary,?,,,I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events |against| them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.186284.3:24,towards,,,Beneficiary,compassion toward(s),Beneficiary,Direction?,,,"I am so glad that I called in to see Ana , she is a lovely girl who showed nothing but care and compassion |towards| me ."
ewtb.r.079375.5:5,towards,,,Beneficiary,friendly toward(s),Beneficiary,Direction?,,,lol They where super friendly |towards| us and treated us like people not walking bags of cash .
ewtb.r.290594.10:5,to,,,Beneficiary,a risk to,Beneficiary,Goal,,,But not at a risk |to| other people 's pets .
